Defibrillator,addressName,longitude,latitude
2017-51,"PLAZA de Carlos Trias Bertrán 7, 28020, Madrid",-4.41164,44.8014
2017-70,"CALLE de Labastida 13, 28034, Madrid",-4.41774,44.2398
2017-71,"CTRA de La Muñoza S/N, 28042, Madrid",-4.5427,44.9856
2017-110,"CALLE del Poeta Joan Maragall 53, 28020, Madrid",-4.41358,44.9432
2017-111,"CALLE de Manuel Tovar 13, 28034, Madrid",-4.4186,44.205
2017-113,"CALLE de Xaudaró 15, 28034, Madrid",-4.41404,44.2303
2017-114,"AVDA de los Poblados 183, 28041, Madrid",-4.4084,44.9177
2017-127,"CALLE del Río Nalón , 28600, Navalcarnero",-4.13439,44.9835
2017-150,"AVDA de Manoteras 24, 28050, Madrid",-4.43487,44.1977
2017-169,"CALLE de Suiza 14, 28821, Coslada",-4.53688,44.6792
2017-185,"CALLE PLATAFORMA LOGISTICA LIDL SUPERMERCADOS PINTO. ALMACÉN S/N,  Pinto",-4.41733,44.7594
2017-187,"CALLE Camino del Obispo 6, 28935, Móstoles",-4.24796,44.4956
2017-189,"CALLE de Santuario 11, 28026, Madrid",-4.40609,44.0601
2017-193,"CALLE de Nicolás Cabrera 13, 28049, Madrid",-4.418,44.8974
2017-194,"CALLE de la Castellana 75, 28032, Madrid",-4.41213,44.7669
2017-195,"CALLE de la Castellana 75, 28032, Madrid",-4.41213,44.7669
2017-216,"AVDA Europa 26, 28224, Pozuelo de Alarcón",-4.33465,44.704
2017-218,"CALLE de Santa Hortensia 46, 28002, Madrid",-4.43752,44.7266
2017-219,"CALLE de Anabel Segura 14, 28108, Alcobendas",-4.46813,44.7175
2017-5,"CALLE de la Buena Vista S/N, 28320, Pinto",-4.40494,44.5151
2017-28,"CALLE Juana Francés 63, 28320, Pinto",-4.40315,44.6403
2017-29,"PLAZA de la Constitución S/N, 28320, Pinto",-4.40383,44.4741
2017-32,"CALLE del Camino Ancho 14, 28109, Alcobendas",-4.48028,44.4602
2017-65,"CALLE Ruiseñor 1-3, 28609, Sevilla la Nueva",-4.12555,44.6589
2017-94,"AVDA de Canillejas a Vicálvaro 135, 28022, Madrid",-4.48246,44.5257
2017-116,"AVDA de Badajoz 76, 28027, Madrid",-4.4489,44.7193
2017-120,"CALLE del Pozo del Concejo 9, 28600, Navalcarnero",-4.13772,44.011
2017-126,"CALLE de Monteclaro s/n, 28600, Navalcarnero",-4.13507,44.0644
2017-128,"CALLE de Camilo José Cela s/n, 28600, Navalcarnero",-4.12992,44.9745
2017-142,"CALLE de la Cañada Real 37, 28270, Colmenarejo",-4.1367,44.0956
2017-146,"CALLE de Emilio Vargas 7, 28043, Madrid",-4.44537,44.7719
2017-147,"CALLE de Emilio Vargas 7, 28043, Madrid",-4.4452,44.7777
2017-157,"AVDA de América 25, 28002, Madrid",-4.42775,44.6716
2017-158,"CALLE de Azcona 53, 28028, Madrid",-4.43496,44.6362
2017-8,"CALLE Asturias s/n, 28320, Pinto",-4.41258,44.6164
2017-20,"CALLE Italia 6, 28320, Pinto",-4.40932,44.5914
2017-21,"CALLE Francisco Bores S/N, 28320, Pinto",-4.40554,44.6429
2017-25,"PASEO del Príncipe 3, 28223, Pozuelo de Alarcón",-4.33091,44.2101
2017-63,"AVDA de Isabel de Farnesio 16, 28660, Boadilla del Monte",-4.24721,44.284
2017-64,"AVDA de Isabel de Farnesio 33, 28660, Boadilla del Monte",-4.24974,44.2408
2017-75,"CALLE de Federico García Lorca 4, 28660, Boadilla del Monte",-4.23876,44.3337
2017-76,"CALLE de Gutiérrez Soto 12, 28660, Boadilla del Monte",-4.24084,44.2645
2017-77,"CALLE de Tomás Bretón 4, 28660, Boadilla del Monte",-4.24795,44.2847
2017-78,"CALLE Islas Cíes S/N, 28660, Boadilla del Monte",-4.24927,44.6183
2017-79,"CALLE de Juan Carlos I 40, 28660, Boadilla del Monte",-4.25466,44.3322
2017-80,"CALLE de Serrano Galvache 56, 28033, Madrid",-4.42952,44.0807
2017-84,"CMNO el Olivar 2, 28806, Alcalá de Henares",-4.67135,44.3391
2017-88,"CALLE de Velázquez 132, 28006, Madrid",-4.42129,44.6651
2017-118,"CALLE de San Enrique 16, 28020, Madrid",-4.40607,44.8609
2017-122,"CALLE del Cuartel 9, 28600, Navalcarnero",-4.14073,44.0318
2017-124,"CALLE de Luis Zapata 3, 28600, Navalcarnero",-4.14116,44.0179
2017-138,"CALLE Cristal 2, 28850, Torrejón de Ardoz",-4.60321,44.8132
2017-139,"CALLE Mallorca 2, 28229, Villanueva del Pardillo",-4.18038,44.2268
2017-140,"PASEO de Deleite 44, 28300, Aranjuez",-4.46932,44.0793
2017-141,"AVDA de Nuestra Señora de la Vega 6, 28330, San Martín de la Vega",-4.50497,44.1401
2017-162,"CALLE de Rivas s/n, 28052, Madrid",-4.51246,44.1507
2017-171,"CALLE de Cristóbal Bordiú 13, 28003, Madrid",-4.40536,44.7194
2017-215,"CALLE de la Castellana 141, 28032, Madrid",-4.41451,44.9008
2017-217,"CALLE de Puerto de Santa María 15, 28043, Madrid",-4.44756,44.8374
2017-1,"CALLE de Salvador de Madariaga 1, 28027, Madrid",-4.44215,44.6437
2017-14,"CALLE de Santa Teresa s/n, 28320, Pinto",-4.40882,44.4496
2017-17,"TRVA del Prado s/n, 28320, Pinto",-4.41201,44.5983
2017-19,"CALLE de las Alpujarras s/n, 28320, Pinto",-4.41007,44.4866
2017-27,"CALLE de Entrepeñas 27, 28051, Madrid",-4.48332,44.89
2017-33,"CALLE de Entrepeñas 27, 28051, Madrid",-4.48332,44.89
2017-43,"CALLE Latón 8, 28500, Arganda del Rey",-4.60224,44.1408
2017-45,"CTRA N-VI KM 18,200 SAC MAKER SAU ,  Rozas de Madrid, Las",-4.26251,44.3281
2017-49,"CALLE de Monasterio de Las Huelgas 15, 28049, Madrid",-4.39824,44.3801
2017-59,"CALLE de Victoria Eugenia de Battenberg 10, 28660, Boadilla del Monte",-4.24947,44.3594
2017-60,"CALLE de Francisco Alonso 2, 28660, Boadilla del Monte",-4.25123,44.2591
2017-61,"CALLE de los Mártires 1, 28660, Boadilla del Monte",-4.25693,44.3237
2017-62,"CALLE de Francisco Asenjo Barbieri 2, 28660, Boadilla del Monte",-4.24666,44.2804
2017-66,"PASEO de la Castellana 95, 28046, Madrid",-4.41368,44.8121
2017-67,"CALLE de la Castellana 95, 28032, Madrid",-4.41368,44.8121
2017-73,"CALLE de Amara 4, 28027, Madrid",-4.44935,44.7382
2017-86,"CMNO el Olivar 2, 28806, Alcalá de Henares",-4.5885,44.9534
2017-102,"AVDA de Cantabria 52, 28042, Madrid",-4.50591,44.8948
2017-105,"AVDA Castilla 27, 28670, Villaviciosa de Odón",-4.54696,44.7369
2017-107,"CTRA del Barrio de la Fortuna s/n,  Madrid",-4.33726,44.8955
2017-137,"CALLE de Vital Aza 65, 28017, Madrid",-4.45777,44.6048
2017-145,"CALLE de San Martín 5, 28013, Madrid",-4.40031,44.4387
2017-166,"CALLE de Miguel Ángel Cantero Oliva 13, 28660, Boadilla del Monte",-4.23769,44.4966
2017-168,"AVDA de Manoteras 24, 28050, Madrid",-4.43487,44.1977
2017-170,"CALLE Puerto de Cotos 8, 28933, Móstoles",-4.25887,44.6926
2017-230,"AVDA de los Príncipes de España 8, 28823, Coslada",-4.53229,44.5243
2017-231,"CALLE del Poniente 19, 28823, Coslada",-4.54284,44.5298
2017-236,"PLAZA Constitución 7, 28620, Aldea del Fresno",-3.97789,44.4489
2017-266,"CALLE Chile 8, 28290, Rozas de Madrid, Las",-4.23946,44.8551
2017-274,"CALLE de Titán 13, 28045, Madrid",-4.42287,44.1376
2017-287,"CALLE de Silvano 77, 28043, Madrid",-4.4592,44.9352
2017-299,"CALLE Moreras 2, 28222, Majadahonda",-4.26289,44.8365
2017-312,"CALLE Federico Cantero Villamil 4, 28933, Móstoles",-4.25219,44.6059
2017-313,"CALLE Federico Cantero Villamil , 28933, Móstoles",-4.25219,44.6059
2017-314,"CALLE Federico Cantero Villamil , 28933, Móstoles",-4.25219,44.6059
2017-323,"CALLE del Hierro 27, 28045, Madrid",-4.414,44.1346
2017-324,"CALLE de Raimundo Fernández Villaverde 32, 28003, Madrid",-4.40731,44.7507
2017-329,"AVDA de Los Rosales 36, 28041, Madrid",-4.41859,44.827
2017-340,"AVDA de Miraflores S/N, 28035, Madrid",-4.37668,44.8955
2017-341,"AVDA de Miraflores S/N, 28035, Madrid",-4.37668,44.8955
2017-379,"CALLE de O'Donnell 53, 28009, Madrid",-4.42976,44.4767
2017-397,"CALLE Cormoranes 18, 28320, Pinto",-4.39853,44.5724
2017-398,"CALLE Pollensa 6, 28290, Rozas de Madrid, Las",-4.24697,44.7171
2017-408,"CTRA de Torrejón km 3,5, 28864, Ajalvir",-4.59254,44.6696
2017-416,"PASEO de la Castellana 79, 28046, Madrid",-4.41267,44.7653
2017-278,"AVDA Radio y Televisión 2, 28223, Pozuelo de Alarcón",-4.32934,44.4129
2017-279,"CALLE de Gómez de Arteche 28, 28044, Madrid",-4.35781,44.9013
2017-285,"CALLE de Alcalá 589, 28022, Madrid",-4.47938,44.744
2017-293,"CALLE de Maudes 17, 28003, Madrid",-4.40544,44.7443
2017-297,"CALLE de Velázquez 63, 28001, Madrid",-4.41981,44.5659
2017-326,"CALLE del Sacramento 1, 28005, Madrid",-4.39708,44.3987
2017-359,"CMNO Garzo 79, 28290, Rozas de Madrid, Las",-4.24966,44.9677
2017-387,"AVDA de Burgos 109, 28050, Madrid",-4.43381,44.312
2017-406,"CALLE PABELLÓN DE MAYORES. A LA SALIDA AL PATIO. CERCA DE ENFERMERIA 7,  Pozuelo de Alarcón",-4.31712,44.7782
2017-410,"CALLE de las Américas 6, 28823, Coslada",-4.5517,44.6009
2018-20,"CALLE de Valdebernardo 2, 28030, Madrid",-4.4633,44.2168
2018-24,"PASEO del Polideportivo 3, 28032, Madrid",-4.48797,44.3372
2018-26,"AVDA de Monforte de Lemos 38-A,  Madrid",-4.39897,44.1184
2018-50,"CTRA M-221 (Brea al Límite de Provincia) , 28596, Brea de Tajo",-4.8714,44.258
2018-51,"CTRA de M-221 (Brea-Valdaracete) , 28596, Brea de Tajo",-4.8714,44.258
2018-78,"CALLE de la Retama 7, 28045, Madrid",-4.42622,44.1678
2018-85,"AVDA de Manoteras 32, 28050, Madrid",-4.4359,44.2121
2018-104,"CALLE Clara Campoamor 1, 28232, Rozas de Madrid, Las",-4.25307,44.3868
2017-232,"PLAZA Constitución 1, 28620, Aldea del Fresno",-3.97786,44.4496
2017-240,"PLAZA del Marqués de Salamanca 8, 28006, Madrid",-4.42393,44.5766
2017-241,"CTRA N-401 (Madrid-Toledo) km 6,8, 28919, Leganés",-4.38614,44.7962
2017-268,"CALLE de la Castellana 278, 28032, Madrid",-4.41844,44.0778
2017-269,"PASEO de la Castellana 278, 28046, Madrid",-4.41844,44.0778
2017-270,"CTRA M-607 Colmenar Viejo 13,  Madrid",-4.41586,44.6803
2017-271,"CTRA de Villaverde a Vallecas 3,5,  Madrid",-4.42022,44.8365
2017-272,"BULEV de Buenos Aires 3, 28806, Alcalá de Henares",-4.65311,44.4544
2017-273,"CALLE Petróleo 9, 28925, Alcorcón",-4.32092,44.721
2017-291,"AVDA de Asturias 28, 28029, Madrid",-4.41104,44.0078
2017-292,"CALLE de Braganza 3, 28025, Madrid",-4.38796,44.0696
2017-298,"CALLE Calvario 20, 28460, Molinos, Los",-4.0892,45.7606
2017-302,"CTRA COLEGIO SUIZO DE MADRID 14,  Alcobendas",-4.4454,44.5796
2017-303,"AVDA de Argentina 2, 28890, Loeches",-4.64903,44.998
2017-305,"CALLE de Babilonia 19, 28042, Madrid",-4.50184,44.9866
2017-307,"CALLE km 20. TANATORIO DE LA PAZ. PLANTA BAJA JUNTO A RECEPCIÓN ,  Alcobendas",-4.40886,44.2165
2017-392,"CALLE Azafrán 4, 28222, Majadahonda",-4.26358,44.8639
2017-407,"CALLE PABELLÓN DE MENORES. A LA ENTRADA, EN PORTERÍA 7,  Pozuelo de Alarcón",-4.31712,44.7782
2017-421,"CALLE de Méjico 53, 28028, Madrid",-4.43034,44.6639
2017-430,"AVDA de Manoteras 52, 28050, Madrid",-4.4391,44.0048
2017-431,"AVDA de Manoteras 52, 28050, Madrid",-4.4391,44.2048
2018-59,"CALLE de Ferraz 8, 28008, Madrid",-4.3935,44.5051
2018-117,"AVDA de los Reyes 1, 28770, Colmenar Viejo",-4.36265,45.0939
2018-118,"PASEO de Santa María de la Cabeza 115, 28026, Madrid",-4.39755,44.1329
2018-121,"CALLE de Gaztambide 91, 28003, Madrid",-4.39237,44.696
2018-132,"CALLE de la Castellana 18, 28032, Madrid",-4.41554,44.5571
2018-134,"CALLE de Rosario Pino 14, 28020, Madrid",-4.41258,44.933
2017-227,"CALLE de Juan de Herrera 2, 28823, Coslada",-4.54689,44.6954
2017-229,"AVDA Francfort 2, 28822, Coslada",-4.54139,44.4537
2017-290,"CTRA de Somontes al Palacio de la Real Quinta 1, 28048, Madrid",-4.37448,44.412
2017-309,"CALLE Madrid 31, 28939, Arroyomolinos",-4.22352,44.8531
2017-311,"CALLE de Antonio López 247, 28041, Madrid",-4.4101,44.9855
2017-331,"PLAZA de la Constitución 1, 28250, Torrelodones",-4.21344,44.2062
2017-332,"PASEO Joaquín Ruiz Giménez 26, 28250, Torrelodones",-4.21957,44.1745
2017-343,"PLAZA del Emperador Carlos V 1, 28012, Madrid",-4.41376,44.3078
2017-344,"CALLE de Agustín de Foxá 46, 28036, Madrid",-4.42188,44.0443
2017-395,"CTRA M-111 (Paracuellos a Fuente El Saz) km 15,  San Sebastián de los Reyes",-4.52601,44.2898
2017-399,"CALLE Pollensa 6, 28290, Rozas de Madrid, Las",-4.24697,44.7171
2017-417,"CALLE del Tajo 8, 28840, Mejorada del Campo",-4.58853,44.0556
2017-432,"CALLE de Martínez Villergas 49, 28027, Madrid",-4.44205,44.7246
2017-433,"CALLE de Santa Engracia 67-69,  Madrid",-4.40739,44.6204
2017-434,"CALLE de Santa Engracia 67-69,  Madrid",-4.40739,44.6204
2018-66,"AVDA del General Perón 27, 28020, Madrid",-4.41126,44.8303
2018-80,"CALLE de la Ribera del Loira 42, 28042, Madrid",-4.47321,44.9257
2018-115,"CALLE Impresores 10, 28660, Boadilla del Monte",-4.28143,44.2092
2018-116,"AVDA de la Condesa de Chinchón 107, 28660, Boadilla del Monte",-4.24266,44.2414
2018-138,"CALLE de Tutor 8, 28008, Madrid",-4.39419,44.5334
2018-139,"CALLE Transversal Tercera , 28021, Madrid",-4.40849,44.5198
2018-140,"CALLE de Fuencarral 107, 28004, Madrid",-4.40416,44.5588
2018-141,"CALLE de la Princesa 23, 28008, Madrid",-4.39453,44.5376
2018-142,"CALLE de la Princesa 23, 28008, Madrid",-4.39453,44.5376
2018-143,"CALLE de la Princesa 23, 28008, Madrid",-4.39453,44.5376
2018-144,"CALLE de la Princesa 23, 28008, Madrid",-4.39453,44.5376
2018-146,"CALLE Fresa 14, 28222, Majadahonda",-4.26036,44.8462
2018-150,"CALLE PINTOPADEL 20,  Pinto",-4.41076,44.01
2018-151,"CALLE de la Costa Brava 4, 28034, Madrid",-4.40446,44.3232
2018-152,"CALLE de los Llanos de Jerez 9, 28823, Coslada",-4.53606,44.6466
2018-153,"CALLE de Junkal 4, 28522, Rivas-Vaciamadrid",-4.54095,44.7546
2018-154,"CALLE de Serrano Galvache 8, 28033, Madrid",-4.43181,44.027
2018-155,"CALLE de la Costa Brava 4, 28034, Madrid",-4.4044,44.3232
2017-294,"CALLE de Orense 60, 28020, Madrid",-4.41174,44.9054
2017-295,"CALLE de Ayala 28, 28001, Madrid",-4.41826,44.5411
2017-330,"CALLE de la Encomienda de Palacios 235, 28030, Madrid",-4.4605,44.2104
2017-333,"AVDA de Rosario Manzaneque 1, 28250, Torrelodones",-4.19036,44.2529
2017-334,"PLAZA de José María Unceta 4, 28250, Torrelodones",-4.20499,44.2499
2017-336,"AVDA de Torrelodones 8, 28250, Torrelodones",-4.20056,44.2221
2017-339,"AVDA de Miraflores s/n, 28035, Madrid",-4.37668,44.8955
2017-361,"CALLE km 18,5 EN RECEPCIÓN, JUNTO A LA ENTRADA ,  Madrid",-4.41662,45.7676
2017-419,"PLAZA de Pablo Ruiz Picasso 1, 28020, Madrid",-4.41253,44.7979
2017-422,"AVDA de Córdoba 21, 28026, Madrid",-4.40798,44.0581
2018-7,"CALLE CENTRO DEPORTIVO MUNICIPAL PALOMERAS (2). EN HALL DE ENTRADA 4,  Madrid",-4.46207,44.0415
2018-61,"AVDA de los Montes de Oca 1, 28703, San Sebastián de los Reyes",-4.47846,44.9348
2018-62,"CALLE de Cifuentes S/N, 28021, Madrid",-4.4076,44.6624
2018-71,"CALLE del Diseño 20, 28906, Getafe",-4.41891,44.3405
2018-72,"CALLE de Julián Camarillo 8 A,  Madrid",-4.4642,44.6097
2018-83,"PASEO Club Deportivo 1, 28223, Pozuelo de Alarcón",-4.32061,44.459
2018-87,"CALLE Torrelaguna 29, 28806, Alcalá de Henares",-4.68344,44.2055
2018-137,"CALLE km 7,5. EDIFICIO PRINCIPAL INIA ,  Madrid",-4.36395,44.8535
2018-145,"CALLE de la Castellana 21, 28032, Madrid",-4.41459,44.5588
2018-157,"PASEO de la Castellana 184, 28032, Madrid",-4.41634,44.9167
2017-281,"CALLE de Peironcely 7, 28053, Madrid",-4.43123,44.0368
2017-282,"CALLE Luis de Medina 12, 28805, Alcalá de Henares",-4.69745,44.2227
2017-317,"CALLE de Alcalá (Alalpardo) 23, 28130, Valdeolmos-Alalpardo",-4.60013,44.7455
2017-320,"AVDA de Pasionistas 10, 28806, Alcalá de Henares",-4.67796,44.2656
2017-353,"CALLE Comunidad de La Rioja 4, 28231, Rozas de Madrid, Las",-4.2523,44.2708
2017-384,"CALLE de Méndez Álvaro 58, 28045, Madrid",-4.42129,44.2039
2017-393,"CALLE José Echegaray 20, 28232, Rozas de Madrid, Las",-4.24552,44.6548
2017-414,"CALLE RECEPCIÓN DEL COLEGIO 9,  Alcobendas",-4.43277,44.9591
2017-415,"PASEO de Alcobendas 5, 28109, Alcobendas",-4.46632,44.636
2017-423,"AVDA de Burgos 19, 28036, Madrid",-4.42691,44.0572
2017-424,"CALLE de María de Molina 54, 28006, Madrid",-4.42334,44.6522
2018-2,"PLAZA Mayor 1, 28229, Villanueva del Pardillo",-4.18267,44.2655
2018-49,"CALLE del Pintor El Greco 4, 28040, Madrid",-4.37676,44.6983
2018-63,"CALLE de Cifuentes s/n, 28021, Madrid",-4.4076,44.6624
2018-75,"AVDA de Fuentemar 21, 28823, Coslada",-4.53191,44.5912
2018-76,"CALLE de Miguel Fleta 19, 28037, Madrid",-4.46629,44.5993
2018-81,"CMNO Cerro de los Gamos 1, 28224, Pozuelo de Alarcón",-4.3131,44.933
2018-82,"CALLE Priegola 2, 28224, Pozuelo de Alarcón",-4.31201,44.9503
2018-90,"CTRA Ajalvir , 28806, Alcalá de Henares",-4.67859,44.2183
2018-111,"AVDA de Madrid 16, 28730, Buitrago del Lozoya",-4.46242,45.7825
2018-112,"CALLE Vicente Aleixandre 1, 28232, Rozas de Madrid, Las",-4.24242,44.5682
2018-114,"CALLE de Ramón de Aguinaga 13, 28028, Madrid",-4.43805,44.534
2018-119,"AVDA de la Rioja 14, 28691, Villanueva de la Cañada",-4.15313,44.6848
2018-120,"CALLE de Serrano Galvache 56, 28033, Madrid",-4.43051,44.0862
2017-277,"AVDA de Madrid 0, 28210, Valdemorillo",-4.08466,44.0445
2017-280,"CALLE de Joaquín Turina 37, 28044, Madrid",-4.3592,44.9288
2017-300,"PASEO de Alcobendas 9, 28109, Alcobendas",-4.46754,44.646
2017-308,"CALLE del Tajo 8, 28840, Mejorada del Campo",-4.58853,44.0556
2017-328,"PASEO de Tiselius 5, 28906, Getafe",-4.36855,44.8747
2017-357,"AVDA Nuestra Señora del Retamar 16, 28232, Rozas de Madrid, Las",-4.24644,44.4405
2017-358,"CALLE Wisteria 7, 28232, Rozas de Madrid, Las",-4.21603,44.5771
2017-394,"CALLE de la Ribera del Loira 60, 28042, Madrid",-4.47573,44.8945
2017-435,"CALLE de Rufino González 23, 28037, Madrid",-4.46866,44.6638
2018-16,"CTRA de Villaverde a Vallecas 19, 28041, Madrid",-4.41676,44.7531
2018-56,"CALLE de la Infanta Mercedes 31, 28020, Madrid",-4.40738,44.8477
2018-64,"CALLE de Pelayo 61, 28004, Madrid",-4.40894,44.5172
2018-65,"CALLE JUNTO A SEGURIDAD 4,  Madrid",-4.40903,44.5211
2018-73,"CALLE DESPACHO DE REF 30,  Madrid",-4.41315,44.5634
2018-74,"CALLE de Miguel Fleta 19, 28037, Madrid",-4.46629,44.5993
2018-79,"CALLE de Ochandiano 12, 28023, Madrid",-4.30677,44.0137
2017-226,"CALLE de Velázquez 6, 28821, Coslada",-4.52105,44.4861
2017-275,"PASEO de la Castellana 110, 28046, Madrid",-4.41437,44.7474
2017-327,"CALLE del Sacramento 3-5, 28005, Madrid",-4.39672,44.4005
2017-338,"FINCA Vaciabotas 0, 28830, San Fernando de Henares",-4.57737,44.5856
2017-351,"CALLE PLANTA CALLE JUNTO A ASEOS DE GERENCIA s/n,  Getafe",-4.3881,44.4201
2017-354,"AVDA Nuestra Señora del Retamar 16, 28232, Rozas de Madrid, Las",-4.24667,44.4525
2017-396,"PASEO de la Castellana 49, 28046, Madrid",-4.41465,44.6422
2017-401,"CALLE Pollensa 6, 28290, Rozas de Madrid, Las",-4.24697,44.7171
2017-403,"CALLE Luis Vives 18, 28803, Alcalá de Henares",-4.68804,44.0473
2017-404,"CALLE de la Caléndula , 28109, Alcobendas",-4.45278,44.6484
2017-418,"AVDA Punto Com 1,  Alcalá de Henares",-4.7114,44.4777
2017-425,"CALLE de Quintanapalla 2, 28050, Madrid",-4.43578,44.3233
2017-426,"PASEO de la Castellana 259, 28046, Madrid",-4.41732,44.0793
2017-427,"CALLE de la Castellana 259, 28032, Madrid",-4.41372,44.0793
2018-47,"CALLE de Santa Pola 22, 28008, Madrid",-4.37487,44.5984
2018-52,"CALLE de Isaac Newton 7, 28760, Tres Cantos",-4.40126,44.3803
2018-53,"CALLE de Isaac Newton 9, 28760, Tres Cantos",-4.40148,44.3687
2018-54,"RONDA de Europa 7, 28760, Tres Cantos",-4.39194,44.6497
2018-68,"CALLE de Albasanz 65, 28037, Madrid",-4.47151,44.6652
2018-69,"PASEO de la Castellana 81, 28046, Madrid",-4.41368,44.8121
2018-181,"CTRA de Barajas km1,  Alcobendas",-4.47447,44.7324
2018-182,"CTRA M-507 (Navalcarnero-Cadalso) KM16, 28620, Aldea del Fresno",-3.98858,44.3898
2018-183,"CALLE PARQUE DE BOMBEROS DE ALDEA DEL FRESNO KM16,  Aldea del Fresno",-3.98858,44.3898
2018-184,"PASEO de Deleite 7, 28300, Aranjuez",-4.4778,44.074
2018-186,"CALLE PARQUE DE BOMBEROS DE ARGANDA DEL REY km22,5,  Arganda del Rey",-4.58212,44.2617
2018-188,"CALLE PARQUE DE BOMBEROSD E COLLADO VILLALBA km0.8,  Collado Villalba",-4.15062,44.9427
2018-189,"CALLE PARQUE DE BOMBEROS DE COLLADO VILLALBA km0.8,  Collado Villalba",-4.15062,44.9427
2018-191,"AVDA de la Cañada ,  Coslada",-4.54014,44.6713
2018-214,"CTRA de la Coruña KM21.8,  Rozas de Madrid, Las",-4.2508,44.5924
2018-217,"CTRA de la Coruña 21.8, 28232, Rozas de Madrid, Las",-4.2508,44.5924
2018-218,"CTRA de la Coruña KM21.8,  Rozas de Madrid, Las",-4.2508,44.5924
2018-220,"CTRA de la Coruña KM21.8,  Rozas de Madrid, Las",-4.2508,44.5924
2018-222,"CTRA de la Coruña KM21.8,  Rozas de Madrid, Las",-4.2508,44.5924
2018-223,"CALLE Estaciones 0, 28850, Torrejón de Ardoz",-4.58753,44.7221
2018-225,"CALLE del Fuego ,  Tres Cantos",-4.39121,44.6035
2018-232,"CALLE de Portomarín 5, 28050, Madrid",-4.43855,44.4307
2018-300,"CALLE de la Castellana 259, 28032, Madrid",-4.41732,44.1793
2018-301,"CALLE de la Isla Graciosa 3, 28703, San Sebastián de los Reyes",-4.47609,44.9389
2018-307,"CALLE Playa de Formentor 41, 28660, Boadilla del Monte",-4.24245,44.735
2018-331,"PLAZA de la Marina Española 9, 28013, Madrid",-4.3956,44.4692
2018-348,"CALLE Gran Vía 25, 28013, Madrid",-4.40427,44.4599
2018-389,"AVDA del Partenón 5, 28042, Madrid",-4.47747,44.947
2018-429,"AVDA Camarmilla s/n, 28806, Alcalá de Henares",-4.68189,44.1528
2018-431,"CALLE de Enmedio 2, 28191, Hiruela, La",-4.61786,45.7515
2018-432,"CALLE de Navaleno , 28033, Madrid",-4.43944,44.0109
2018-479,"CTRA de Barajas KM 1.4,  Alcobendas",-4.47284,44.7474
