,identifier,name,equipment,teaching,typeAccessibility,knowsAbout,locality,same_as_wikidata_locality,province,same_as_wikidata_province,postalCode,neighborhood,same_as_wikidata_neighborhood,district,same_as_wikidata_district,latitude,longitude,telephone,faxNumber,email,titularity,laborDay,schedule,extraUses,otherUses,yardCategory,yardNumber,accessibilityComment,directAccess,otherAccess,wcAccessibles,shade,furniture,services,surface,conservationState,greenZonesProximity,facilitiesProximity,observations,bus,renfe,same_as_wikidata_renfe,metro,same_as_wikidata_metro,streetAddress
10,5081,Colegio público amador de los ríos,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza Bilingüe,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=bde8a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28028,Fuente del Berro,https://wikidata.org/entity/Q3814564,Salamanca,https://wikidata.org/entity/Q1773521,443459,4475286,917 252 610,917 261 891,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Actividades deportivas ,I,2,Si,Si (paseo marqués de zafra y c/ florencio díaz),,Si,No,"Columpios, porterías, canastas, bancos",No,"1610,42",Actualmente en obras,"Jardín de las mujeres de ventas (140m), quinta de la fuente del berro (500m)",Centro deportivo fuente del berro (650m),,"12 , 2 , 56 , 71 , 143, 156, c2",,https://wikidata.org/entity/Q858684,Manuel Becerra,https://wikidata.org/entity/Q2056869,Paseo marques de zafra 16
11,5083,Colegio público amós acero,"Comedor, integración preferente (trastornos generales del desarrollo)",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=0309a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28053,Palomeras Bajas,https://wikidata.org/entity/Q10343902,Puente de Vallecas,https://wikidata.org/entity/Q2003054,443664,4471282,914 785 161,914 772 415,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-20:00,"Escuelas deportivas municipales y el programa ""quedamos al salir de clase""",III,1,Si,No,,No,Si (2x12m),"Porterías, canastas",No,"612,31",Mejorable (suelos en mal estado),"Parque amós acero (150m), parque del payaso fofó (500m)","El espacio (300m), cdm angel nieto (550m), instalación deportiva básica (700m), biblioteca vallecas (800m)",,"10 , 54 , 57 , 58 , 103 , 111 , 310 , 410",,https://wikidata.org/entity/Q858684,Nueva Numancia,https://wikidata.org/entity/Q2696516,Calle rodriguez espinosa 54
12,5295314,Colegio público angel nieto,,Enseñanza: educacion infantil - primaria - enseñanza Bilingüe  centro de nueva creación curso 2019-20 se imparte niveles desde infantil hasta primero de primaria.,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=e5ebe48403b60210vgnvcm2000000c205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28051,Ensanche de Vallecas,https://wikidata.org/entity/Q3847485,Villa de Vallecas,https://wikidata.org/entity/Q1947988,450106,4468011,912 723 449 - 660 486 591,,Cp.angelnieto.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:30,,III,2,Si,No,,No,No,No,No,,Sin terminar de construir,"Parque de la gavia (300m), plaza las artes (400m)",,,142 y 145,,https://wikidata.org/entity/Q858684,Las Suertes,https://wikidata.org/entity/Q3827256,Avenida las suertes 109
13,5085,Colegio público antonio de nebrija,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=5819a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28021,Los Rosales,https://wikidata.org/entity/Q10319807,Villaverde,https://wikidata.org/entity/Q919536,441729,4467039,917 963 500,915 051 317,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-19:00,Federaciones deportivas,II,2,Si,Si (c/ villarramiel),"C/ pilar lorengar, c/ diamante",Si,No,"Porterías, canastas, pistas vóley, bancos","Alumbrado, fuente","440,45",Recién reformado,,,,"85 , 123",Villaverde Bajo railway station,https://wikidata.org/entity/Q2560615,,https://wikidata.org/entity/Q858684,Calle juan jose martinez seco 77
14,5792171,Colegio público antonio fontan,,Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=93f1a0910bcca210vgnvcm2000000c205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28049,El Goloso,https://wikidata.org/entity/Q10271137,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,441221,4484771,911 722 243,911 720 010,Cp.antoniofontan.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-17:00,"Actividades ampa 16:00-18:00, club voleybol 18:00-20:00",II,3,Si,Si,,Si,Si (20%),"Canastas, porterías, bancos, papeleras","Alumbrado, fuente","3086,44",Mejorable (una zona amplia inhabilitada por falta de arreglo),,,,"134, 178",,https://wikidata.org/entity/Q858684,,https://wikidata.org/entity/Q858684,Avenida santuario de valverde 71
15,5087,Colegio público antonio machado,"Comedor, planes de mejora, horario ampliado",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=ad29a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28044,Buenavista,https://wikidata.org/entity/Q953929,Carabanchel,https://wikidata.org/entity/Q1001991,436078,4469020,915 088 661,914 006 788,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,,III,1,No (escaleras),Si (av. carabanchel alto),,No,No,"Porterías, canastas",No,"3000,74",Bueno,,,,"35 , 47",,https://wikidata.org/entity/Q858684,,https://wikidata.org/entity/Q858684,Calle allariz 3
16,5088,Colegio público antonio moreno rosales,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria curso 2018/19 trasladado por obras al colegio público perú / calle baleares 18.,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=f249a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28012,Embajadores,https://wikidata.org/entity/Q2449844,Centro,https://wikidata.org/entity/Q1763376,440501,4473665,915 390 646,915 390 646,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,,,III,1,,No,,No,No,,No,"264,65",,Parque casino de la reina (700m),Centro cultural lavapies (240m),,"6 , 26 , 32",,https://wikidata.org/entity/Q858684,Tirso de Molina,https://wikidata.org/entity/Q2474438,Calle olmo 4
17,5091,Colegio público aragón,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria enseñanza Bilingüe,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=4859a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28038,Palomeras Sureste,https://wikidata.org/entity/Q10343901,Puente de Vallecas,https://wikidata.org/entity/Q2003054,445907,4471511,913 039 852,913 806 367,,Ayuntamiento,Lunes-viernes continua,9:00-17:00,Actividades extraescolares 15:00-17:00,,III,2,No (escaleras),Si,,No,Si,"Porterías, canastas",Alumbrado,"1953,73",Mejorable (falta de mantenimiento),Parque lineal de palomeras (150m),Cd nuevas palomeras (0m),,"54 , 58 , 103 , 142 , 143 , 144",,https://wikidata.org/entity/Q858684,Miguel Hernández,https://wikidata.org/entity/Q2479837,Avenida rafael alberti 2
18,5092,Colegio público aravaca,"Integración (general), comedor",Enseñanza: educación infantil - primaria -  enseñanza Bilingüe -,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=9d69a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28023,Aravaca,https://wikidata.org/entity/Q3314682,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,433385,4479176,913 078 119 - 913 071 832,913 071 832,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,,I,3,"Si (algunas barreras, bordillos)",Si (c/ estudio),,Si,No,"Porterías, canastas, bancos",fuente,5441,,Malo (salvo pistas deportivas),Parque paseo ermita (500m),Centro cultural aravaca (280m),"160, 161",,https://wikidata.org/entity/Q858684,,https://wikidata.org/entity/Q858684,Calle estudio 6
19,5093,Colegio público arcipreste de hita,"Comedor, horario ampliado, planes de mejora",Enseñanza: educacion infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=e289a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28025,Abrantes,https://wikidata.org/entity/Q3773949,Carabanchel,https://wikidata.org/entity/Q1001991,438524,4470930,915 605 495,914 605 635,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,,III,1,Si,Si (c/ antonio moreno),,No,No,"Porterías, canastas, juegos","Alumbrado, fuente","844,42",Bueno,Parque emperatriz maría de austria,Polideportivo san vicente de saúl,,"55 , 108 , 118 , 247",,https://wikidata.org/entity/Q858684,Opañel,https://wikidata.org/entity/Q2482116,Calle antonio moreno 25
20,5094,Colegio público arquitecto gaudí,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=3899a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28016,Nueva España,https://wikidata.org/entity/Q10338128,Chamartín,https://wikidata.org/entity/Q1766348,443279,4479632,913 506 564,913 506 564,,Ayuntamiento,Lunes-viernes,9:00-16:00,Actividades extraescolares 16:00-17:00,Club deportivo 17:00-20:00,II,3,Si,Si,,Si,Toldos (1 patio),"Canastas, bancos",Alumbrado (1 patio),"303,95 + 489,12",Bueno (recién arreglado),Jardín gloria fuertes (800m),Instalación deportiva (210m),Patio disgregado en espacios estrechos alrededor del edificio. ,"16 , 29 , 49 , 70 , 107 , 150 , 229",,https://wikidata.org/entity/Q858684,Pío XII,https://wikidata.org/entity/Q2635957,Calle rosa jardon 10
21,5095,Colegio público asturias,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza Bilingüe,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=d2c9a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28018,Palomeras Sureste,https://wikidata.org/entity/Q10343901,Puente de Vallecas,https://wikidata.org/entity/Q2003054,445456,4470478,917 770 635,917 850 680,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Asociación crecer martes 17:00-19:00,II,4,Si (patios inferiores),Si (c/ asturianos),C/ rafael alberti,Si,Porches (en patio inferior),"Porterías, canastas (arriba)",Alumbrado (arriba),"5051,2289",Bueno,"Parque de la paloma (30m), parque lineal de palomeras (270m)",Biblioteca miguel herdez (160m),,"54 , 144",,https://wikidata.org/entity/Q858684,,https://wikidata.org/entity/Q858684,Calle asturianos 2
22,5431144,Colegio público ausias march,"Horario ampliado, comedor",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=67c74431fcf04210vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28021,Butarque,https://wikidata.org/entity/Q390453,Villaverde,https://wikidata.org/entity/Q919536,442694,4466201,917 109 916,917 964 694,P.ausiasmarch.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:00,Actividades complementarias en días no lectivos,III,2,Si,Si,,No,Pocos,"Canastas, porterías, huerto, mesas, areneros","Alumbrado, fuente","2121,04",Regular (suelo se encharca),,,,85,,https://wikidata.org/entity/Q858684,,https://wikidata.org/entity/Q858684,Calle estefanita 9
23,5098,Colegio público azorín,"Comedor, transporte, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=7de9a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28021,San Cristóbal,https://wikidata.org/entity/Q390457,Villaverde,https://wikidata.org/entity/Q919536,441653,4466044,917 975 733,917 231 639,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,,,I,1,Si,Si,,Si,2 techados (9x9m),"Canastas, juegos","Alumbrado débil, fuente","991,41",Necesita reforma,,,,"59 , 79",,https://wikidata.org/entity/Q858684,,https://wikidata.org/entity/Q858684,Calle godella 57
24,5099,Colegio público barcelona,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=c20aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28041,Los Ángeles,https://wikidata.org/entity/Q390462,Villaverde,https://wikidata.org/entity/Q919536,440878,4467772,913 603 078,913 179 568,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,,II,2,Si,Si (av verbena de la paloma),,Si,No,"Porterías, canastas","Alumbrado, fuente","1070,13 + 867,54",Bueno,,,,"18 , 22 , 59 , 79 , 85 , 86 , 116",,https://wikidata.org/entity/Q858684,,https://wikidata.org/entity/Q858684,Avenida la verbena de la paloma 14
25,7635761,Colegio público blas de lezo,,Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=bb4868fe04878410vgnvcm2000000c205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28050,Valverde,https://wikidata.org/entity/Q31132,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,443068,4484732,912 761 564 - 626 122 902,,Cp.blasdelezo.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:30,Club deportivo chamartín vergara 18:30-23:00 + fines de semana,III,3,,Si (c/ palas de rey),C/ fromista,No,Toldos,"Porterías, canastas, columpios, areneros",No,,Pendientes de algunos arreglos,,,,176,,https://wikidata.org/entity/Q858684,Las Tablas,https://wikidata.org/entity/Q2244102,Calle fromista 27
26,5100,Colegio público blas de otero,"Transporte, comedor, planes de mejora, horario ampliado",Enseñanza: educación infantil - primaria - enseñanza Bilingüe,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=181aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28031,Santa Eugenia,https://wikidata.org/entity/Q390463,Villa de Vallecas,https://wikidata.org/entity/Q1947988,448164,4470461,913 311 550,913 310 535,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,,Actividades extraescolares,III,2,Si,Si,,No,Porche (10x5m),Mesa de ping pong,Alumbrado,"1453,58",Bueno,"Parque santa eugenia (200m), parque vasares (550m)","Centro cultural pilar miro (260m), biblioteca luis martin santos (300m), campo de futbol virgen de la torre (650m)",,"58 , 63 , 145",,https://wikidata.org/entity/Q858684,Villa de Vallecas,https://wikidata.org/entity/Q630441,Calle puentelarra 34
