Column,pk,name,equipment,teaching,typeAccessibility,contentURL,locality,province,postalCode,neighborhood,district,coordX,coordY,phone,fax,email,titularity,laborDay,schedule,extraUses,otherUses,yardCategory,yardNumber,accessibilityComment,directAccess,otherAccess,wcAccessibles,shade,furniture,services,surface,conservationState,greenZonesProximity,facilitiesProximity,observations,bus,renfe,metro,address
10,5081,Colegio público amador de los ríos,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=bde8a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28028,Fuente Del Berro,Salamanca,443459,4475286,917 252 610,917 261 891,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Actividades deportivas ,I,2,Si,Si (paseo marqués de zafra y c/ florencio díaz),-,Si (un patio),No,"Columpios, porterías, canastas, bancos",No,"1610,42",Actualmente en obras,"Jardín de las mujeres de ventas (140m), quinta de la fuente del berro (500m)",Centro deportivo fuente del berro (650m),Nan," 12 , 2 , 56 , 71 , 143, 156, c2",Nan,Manuel becerra,Paseo marques de zafra 16
11,5083,Colegio público amós acero,"Comedor, integración preferente (trastornos generales del desarrollo)",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=0309a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28053,Palomeras Bajas,Puente De Vallecas,443664,4471282,914 785 161,914 772 415,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-20:00,"Escuelas deportivas municipales y el programa ""quedamos al salir de clase""",Iii,1,Si,No,-,No,Si (2x12m),"Porterías, canastas",No,"612,31",Mejorable (suelos en mal estado),"Parque amós acero (150m), parque del payaso fofó (500m)","El espacio (300m), cdm angel nieto (550m), instalación deportiva básica (700m), biblioteca vallecas (800m)",Nan," 10 , 54 , 57 , 58 , 103 , 111 , 310 , 410",Nan,"Nueva numancia , portazgo",Calle rodriguez espinosa 54
12,5295314,Colegio público angel nieto,Nan,Enseñanza: educacion infantil - primaria - enseñanza biling&amp;uuml;e  centro de nueva creación curso 2019-20 se imparte niveles desde infantil hasta primero de primaria.,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=e5ebe48403b60210vgnvcm2000000c205a0arcrd,Madrid,Madrid,28051,Ensanche De Vallecas,Villa De Vallecas,450106,4468011,912 723 449 - 660 486 591,Nan,Cp.angelnieto.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:30,-,Iii,2,Si,No,-,No,No,No,No,-,Sin terminar de construir,"Parque de la gavia (300m), plaza las artes (400m)",-,Nan, 142 y 145,Nan,Las suertes,Avenida las suertes 109
13,5085,Colegio público antonio de nebrija,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=5819a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28021,Los Rosales,Villaverde,441729,4467039,917 963 500,915 051 317,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-19:00,Federaciones deportivas,Ii,2,Si,Si (c/ villarramiel),"C/ pilar lorengar, c/ diamante",Si,No,"Porterías, canastas, pistas vóley, bancos","Alumbrado, fuente","440,45",Recién reformado,Nan,Nan,Nan,"85 , 123", villaverde bajo,Nan,Calle juan jose martinez seco 77
14,5792171,Colegio público antonio fontan,Nan,Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=93f1a0910bcca210vgnvcm2000000c205a0arcrd,Madrid,Madrid,28049,El Goloso,Fuencarral-El Pardo,441221,4484771,911 722 243,911 720 010,Cp.antoniofontan.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-17:00,"Actividades ampa 16:00-18:00, club voleybol 18:00-20:00",Ii,3,Si,Si,-,Si,Si (20%),"Canastas, porterías, bancos, papeleras","Alumbrado, fuente","3086,44",Mejorable (una zona amplia inhabilitada por falta de arreglo),Nan,Nan,Nan," 134, 178",Nan,Nan,Avenida santuario de valverde 71
15,5087,Colegio público antonio machado,"Comedor, planes de mejora, horario ampliado",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=ad29a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28044,Buenavista,Carabanchel,436078,4469020,915 088 661,914 006 788,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,-,Iii,1,No (escaleras),Si (av. carabanchel alto),-,No,No,"Porterías, canastas",No,"3000,74",Bueno,Nan,Nan,Nan," 35 , 47",Nan,Nan,Calle allariz 3
16,5088,Colegio público antonio moreno rosales,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria curso 2018/19 trasladado por obras al colegio público perú / calle baleares 18.,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=f249a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28012,Embajadores,Centro,440501,4473665,915 390 646,915 390 646,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,-,-,Iii,1,-,No,-,No,No,-,No,"264,65",-,Parque casino de la reina (700m),Centro cultural lavapies (240m),Nan," 6 , 26 , 32",Nan,"Tirso de molina , antón martín",Calle olmo 4
17,5091,Colegio público aragón,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria enseñanza bling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=4859a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28038,Palomeras Sureste,Puente De Vallecas,445907,4471511,913 039 852,913 806 367,Nan,Ayuntamiento,Lunes-viernes continua,9:00-17:00,Actividades extraescolares 15:00-17:00,-,Iii,2,No (escaleras),Si,-,No,Si,"Porterías, canastas",Alumbrado ,"1953,73",Mejorable (falta de mantenimiento),Parque lineal de palomeras (150m),Cd nuevas palomeras (0m),Nan," 54 , 58 , 103 , 142 , 143 , 144",Nan,Miguel hernández,Avenida rafael alberti 2
18,5092,Colegio público aravaca,"Integración (general), comedor",Enseñanza: educación infantil - primaria -  enseñanza biling&amp;uuml;e -,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=9d69a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28023,Aravaca,Moncloa-Aravaca,433385,4479176,913 078 119 - 913 071 832,913 071 832,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Nan,I,3,"Si (algunas barreras, bordillos)",Si (c/ estudio),Nan,Si,No,"Porterías, canastas, bancos", fuente,5441,Nan,Malo (salvo pistas deportivas),Parque paseo ermita (500m),Centro cultural aravaca (280m)," 160, 161",Nan,Nan,Calle estudio 6
19,5093,Colegio público arcipreste de hita,"Comedor, horario ampliado, planes de mejora",Enseñanza: educacion infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=e289a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28025,Abrantes,Carabanchel,438524,4470930,915 605 495,914 605 635,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,-,Iii,1,Si,Si (c/ antonio moreno),-,No,No,"Porterías, canastas, juegos","Alumbrado, fuente ","844,42",Bueno,Parque emperatriz maría de austria,Polideportivo san vicente de saúl,Nan," 55 , 108 , 118 , 247",Nan,Opañel,Calle antonio moreno 25
20,5094,Colegio público arquitecto gaudí,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=3899a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28016,Nueva España,Chamartin,443279,4479632,913 506 564,913 506 564,Nan,Ayuntamiento,Lunes-viernes,9:00-16:00,Actividades extraescolares 16:00-17:00,Club deportivo 17:00-20:00,Ii,3,Si,Si,-,Si,Toldos (1 patio),"Canastas, bancos",Alumbrado (1 patio),"303,95 + 489,12",Bueno (recién arreglado),Jardín gloria fuertes (800m),Instalación deportiva (210m),Patio disgregado en espacios estrechos alrededor del edificio. ," 16 , 29 , 49 , 70 , 107 , 150 , 229",Nan,Pio xii,Calle rosa jardon 10
21,5095,Colegio público asturias,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=d2c9a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28018,Palomeras Sureste,Puente De Vallecas,445456,4470478,917 770 635,917 850 680,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Asociación crecer martes 17:00-19:00,Ii,4,Si (patios inferiores),Si (c/ asturianos),C/ rafael alberti,"Si, no cumplen accesibilidad",Porches (en patio inferior),"Porterías, canastas (arriba)",Alumbrado (arriba),"5051,2289",Bueno,"Parque de la paloma (30m), parque lineal de palomeras (270m)",Biblioteca miguel hernandez (160m),Nan," 54 , 144",Nan,Nan,Calle asturianos 2
22,5431144,Colegio público ausias march,"Horario ampliado, comedor",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=67c74431fcf04210vgnvcm1000000b205a0arcrd,Madrid,Madrid,28021,Butarque,Villaverde,442694,4466201,917 109 916,917 964 694,P.ausiasmarch.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:00,Actividades complementarias en días no lectivos,Iii,2,Si,Si,-,No,Pocos,"Canastas, porterías, huerto, mesas, areneros","Alumbrado, fuente","2121,04",Regular (suelo se encharca),Nan,Nan,Nan, 85,Nan,Nan,Calle estefanita 9
23,5098,Colegio público azorín,"Comedor, transporte, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=7de9a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28021,San Cristobal,Villaverde,441653,4466044,917 975 733,917 231 639,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Nan,-,I,1,Si,Si,-,Si,2 techados (9x9m),"Canastas, juegos","Alumbrado débil, fuente","991,41",Necesita reforma,Nan,Nan,Nan," 59 , 79",Nan,Nan,Calle godella 57
24,5099,Colegio público barcelona,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=c20aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28041,Los Angeles,Villaverde,440878,4467772,913 603 078,913 179 568,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,-,Ii,2,Si,Si (av verbena de la paloma),-,Si,No,"Porterías, canastas","Alumbrado, fuente","1070,13 + 867,54",Bueno,Nan,Nan,Nan," 18 , 22 , 59 , 79 , 85 , 86 , 116",Nan,Nan,Avenida la verbena de la paloma 14
25,7635761,Colegio público blas de lezo,Nan,Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=bb4868fe04878410vgnvcm2000000c205a0arcrd,Madrid,Madrid,28050,Valverde,Fuencarral-El Pardo,443068,4484732,912 761 564 - 626 122 902,Nan,Cp.blasdelezo.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:30,Club deportivo chamartín vergara 18:30-23:00 + fines de semana,Iii,3,-,Si (c/ palas de rey),C/ fromista,No,Toldos,"Porterías, canastas, columpios, areneros",No,-,Pendientes de algunos arreglos,Nan,Nan,Nan, 176,Nan,Las tablas,Calle fromista 27
26,5100,Colegio público blas de otero,"Transporte, comedor, planes de mejora, horario ampliado",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=181aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28031,Santa Eugenia,Villa De Vallecas,448164,4470461,913 311 550,913 310 535,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Nan,Actividades extraescolares,Iii,2,Si,Si,-,No,Porche (10x5m),Mesa de ping pong,Alumbrado,"1453,58",Bueno,"Parque santa eugenia (200m), parque vasares (550m)","Centro cultural pilar miro (260m), biblioteca luis martin santos (300m), campo de futbol virgen de la torre (650m)",Nan,"58 , 63 , 145",Nan, villa de vallecas,Calle puentelarra 34
27,5101,Colegio público bolivia,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=6d2aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28011,Lucero,Latina,436374,4473273,914 649 989,914 649 989,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Centro de día cruz roja 16:00-20:00,-,Iii,3,Si,Si,-,No,No,"Canastas, porterías",Fuente (no funciona) ,"2187,15",-,Nan,Nan,Nan," 36 , 39 , 65",Nan,Batán,Calle villavaliente 29
28,5102,Colegio público bravo murillo,"Comedor, transporte, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=b24aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28035,Peña Grande,Fuencarral-El Pardo,439142,4481343,917 385 793,917 385 793,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,"Centro abierto, navidad y semana santa 7:30-17:00",Ii,2,Si,Si (c/ fermín caballero),-,No,Si,"Bancos, arenero",Alumbrado ,"1093,70 + 389,07",Mejorable (suelos levantados y falta de seguridad),Nan,Nan,Patio principal con pista deportiva ," 49 , 64 , 67 , 83 , 124 , 133 , 127",Nan,Avenida de la ilustración,Calle islas cies 11
29,5103,Colegio público breogán,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=085aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28029,La Paz,Fuencarral-El Pardo,440459,4480763,917 304 040,917 396 184,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Ii,2,Si,Si,-,Si (patio trasero),No,"Canastas, porterías, bancos",No,"1474,87",Aceptable (necesita reparaciones en una pista y la valla),Nan,Nan,Tiene pistas deportivas.," 42 , 147",Nan,Barrio del pilar,Calle ginzo de limia 2
30,5104,Colegio público calderón de la barca,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria -  enseñanza biling&amp;uuml;e -,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=5d6aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28042,Timon,Barajas,450492,4480168,917 472 465,917 473 130,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-20:00,"Servicios extraescolares ampa 16:00-17:10h; programa ""quedamos al salir de clase "" 16:00-20:00h; baloncesto y balonmano (en planificación) 16:00-18:15h",I,2,Si (patio principal),Si (patio principal c/ aguetol),-,Si,Si (no da medidas),"Porterías, canastas, mesas ping-pong","Alumbrado, fuente","1925,41929",Bueno (en la actualidad obras en el jardín),Parque rabbit (650m),"Instalación deportiva básica (260m), centro cultural villa de barajas (650m)",Nan,"105 , 115",Nan, barajas,Calle calderon 2
31,5105,Colegio público camilo josé cela,"Comedor, transporte, horario ampliado, horario ampliado",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=a28aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28029,La Paz,Fuencarral-El Pardo,440612,4481001,917 392 424,913 781 507,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-17:00,Nan,Iii,3,Si,Si (c/ melchor fdz almagro),-,No,Si,"Porterías, canastas, toboganes, mesas pingpong",Fuentes ,"1867,56",Mejorable,Nan,Nan,Nan, 147,Nan,Barrio del pilar,Calle melchor fernandez almagro 22
32,5107,Colegio público capitán cortés,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=f79aa3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28025,Puerta Bonita,Carabanchel,436944,4470302,91 462 86 62,91 461 91 30,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-19:30,-,Ii,2,Si,Si (un patio),Entrada principal del centro,Si,Porches,"Porterías, canastas",No,"817,97",Regular (necesita repintado y patio interior en mal estado),Nan,Nan,Nan," 34 , 108",Nan,Nan,Calle monseñor oscar romero 17
