idPerson,dateTime,idDateTime,idAccident,adress,district,idDistrict,accident_type,weather_status,bicycle_is_electronic,person_type,age_range,sex,hospitalized,coordinate_x_utm,coordinate_y_utm,positive_alcohol
2019S005992,2019-01-25T9:12:00+02:00,201901259:2:0+,201901259:2:0+3 ,"CALLE ALFONSO XI , CALLE ALCALA, 3",3  RETIRO,3 ,Frontal-lateral collision,Clear,0,Driver,35 - 39,Man,0,441.419.410,4.474.558.056,0
2019S006032,2019-01-26T21:35:00+02:00,20190126213500,201901262135004 ,"CALL. MARIA DE MOLINA, 60",4  SALAMANCA,4 ,Scope,Clear,0,Driver,25 - 29,Man,0,442.430.470,4.476.525.038,0
2019S006478,2019-01-28T18:00:00+02:00,20190128180000,201901281800002 ,"CALL. MENDEZ ALVARO / CALL. TITAN, 83",2  ARGANZUELA,2 ,Fall,Clear,0,Driver,55 - 59,Man,0,442.507.828,4.471.603.239,0
2019S006501,2019-01-27T16:15:00+02:00,20190127161500,201901271615001 ,"CALL. ALCALA, 44",1  CENTRO,1 ,Hitting a person,Clear,0,Driver,25 - 29,Man,1,440.960.299,4.474.465.363,0
2019S006501,2019-01-27T16:15:00+02:00,20190127161500,201901271615001 ,"CALL. ALCALA, 44",1  CENTRO,1 ,Hitting a person,Clear,0,Pedestrian,25 - 29,Woman,0,440.960.299,4.474.465.363,0
2019S006584,2019-01-12T22:25:00+02:00,20190112222500,2019011222250011,"CALL. GENERAL RICARDOS / GTA. VALLE DE ORO, 164",11  CARABANCHEL,11,Frontal-lateral collision,Clear,0,Driver,18 - 20,Man,0,437.897.401,4.471.144.739,0
2019S006649,2019-01-30T11:41:00+02:00,20190130114100,2019013011410011,"CALL. TOMASA RUIZ, 1",11  CARABANCHEL,11,Crash against fixed obstacle,Clear,0,Driver,30 - 34,Man,NULL,439.683.831,4.471.991.241,0
2019S006655,2019-01-30T13:20:00+02:00,20190130132000,2019013013200011,"AVDA. CARABANCHEL ALTO, 122",11  CARABANCHEL,11,Frontal collision,Clear,0,Driver,10 - 14,Woman,0,436.009.268,4.468.610.210,0
2019S007634,2019-01-24T19:58:00+02:00,20190124195800,2019012419580013,"AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC, 1",13  PUENTE DE VALLECAS,13,Lateral collision,Clear,0,Driver,30 - 34,Man,0,443.619.585,4.471.900.704,0
2019S007753,2019-02-02T0:03:00+02:00,201902020:3:0+,201902020:3:0+4 ,"CALL. MARIA DE MOLINA, 18",4  SALAMANCA,4 ,Fall,Clear,0,Driver,35 - 39,Man,1,441.729.535,4.476.572.025,0
2019S007855,2019-02-01T13:30:00+02:00,20190201133000,201902011330003 ,"CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO, 70",3  RETIRO,3 ,Scope,Clear,0,Driver,35 - 39,Woman,0,443.187.871,4.473.979.902,0
2019S007891,2019-02-01T0:15:00+02:00,201902010:5:0+,201902010:5:0+4 ,"CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO, 14",4  SALAMANCA,4 ,Frontal-lateral collision,Light rain,0,Driver,45 - 49,Man,0,443.411.557,4.476.215.867,0
2019S007920,2019-02-02T11:07:00+02:00,20190202110700,2019020211070012,"CALL. MARCELO USERA / CALL. MANUEL NOYA, 8",12  USERA,12,Hitting a person,Clear,0,Driver,50 - 54,Woman,0,439.556.926,4.470.765.498,0
2019S007920,2019-02-02T11:07:00+02:00,20190202110700,2019020211070012,"CALL. MARCELO USERA / CALL. MANUEL NOYA, 8",12  USERA,12,Hitting a person,Clear,0,Pedestrian,70 - 74,Woman,0,439.556.926,4.470.765.498,0
2019S008448,2019-02-06T8:05:00+02:00,201902068:5:0+,201902068:5:0+8 ,"AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA, 2",8  FUENCARRAL-EL PARDO,8 ,Hitting a person,Clear,0,Driver,45 - 49,Man,1,441.854.106,4.482.446.712,0
2019S008448,2019-02-06T8:05:00+02:00,201902068:5:0+,201902068:5:0+8 ,"AVDA. LLANO CASTELLANO / AVDA. CARDENAL HERRERA ORIA, 2",8  FUENCARRAL-EL PARDO,8 ,Hitting a person,Clear,0,Pedestrian,15 - 17,Woman,0,441.854.106,4.482.446.712,0
2019S008460,2019-02-01T1:40:00+02:00,201902011:0:0+,201902011:0:0+7 ,"CALL. SANTA ENGRACIA / CALL. RIOS ROSAS, 128",7  CHAMBERÍ,7 ,Frontal-lateral collision,Light rain,0,Driver,21 - 24,Man,0,440.471.429,4.477.057.485,0
2019S008489,2019-02-06T10:25:00+02:00,20190206102500,201902061025004 ,"CALL. JUAN BRAVO, 17",4  SALAMANCA,4 ,Frontal collision,Clear,0,Driver,50 - 54,Man,1,442.186.653,4.476.021.595,0
2019S008627,2019-02-06T17:30:00+02:00,20190206173000,201902061730004 ,"CALL. ALCALA, 173",4  SALAMANCA,4 ,Scope,Clear,0,Driver,40 - 44,Man,NULL,442.981.558,4.475.311.486,0
2019S008637,2019-02-03T17:00:00+02:00,20190203170000,201902031700009 ,"CALL. ALTAMIRANO / PASEO. PINTOR ROSALES, 52",9  MONCLOA-ARAVACA,9 ,Fall,Clear,0,Driver,45 - 49,Woman,1,438.742.262,4.475.674.435,0
2019S008855,2019-02-06T19:40:00+02:00,20190206194000,201902061940005 ,"CALL. AGUSTIN DE FOXA, 30",5  CHAMARTÍN,5 ,Frontal-lateral collision,Clear,0,Driver,30 - 34,Man,1,442.026.904,4.480.356.125,0
2019S009001,2019-02-07T9:15:00+02:00,201902079:5:0+,201902079:5:0+5 ,"CALL. PRADILLO, 42",5  CHAMARTÍN,5 ,Crash against fixed obstacle,Clear,0,Driver,35 - 39,Man,0,443.119.342,4.477.826.407,0
2019S009106,2019-02-07T18:50:00+02:00,20190207185000,201902071850005 ,"CALL. PRINCIPE DE VERGARA / GTA. LOPEZ DE HOYOS, 123",5  CHAMARTÍN,5 ,Fall,Clear,0,Driver,35 - 39,Woman,1,442.422.865,4.476.979.381,0
2019S009136,2019-02-07T16:10:00+02:00,20190207161000,201902071610007 ,"CALL. VALLEHERMOSO / CALL. FERNANDEZ DE LOS RIOS, 42",7  CHAMBERÍ,7 ,Scope,NULL,0,Driver,30 - 34,Man,NULL,439.898.793,4.476.277.418,0
2019S009150,2019-02-06T16:40:00+02:00,20190206164000,201902061640001 ,"CALL. GRAN VIA / CALL. ALCALA, 1",1  CENTRO,1 ,Fall,Clear,0,Driver,35 - 39,Man,1,440.876.375,4.474.498.071,0
2019S009715,2019-02-10T13:45:00+02:00,20190210134500,201902101345005 ,"CALL. PRINCIPE DE VERGARA, 219",5  CHAMARTÍN,5 ,Lateral collision,Clear,0,Driver,21 - 24,Man,0,442.551.261,4.478.226.356,0
2019S009731,2019-02-08T22:30:00+02:00,20190208223000,201902082230001 ,"CALL. ALCALA, 13",1  CENTRO,1 ,Fall,NULL,0,Driver,50 - 54,Woman,0,440.571.640,4.474.339.291,0
2019S009733,2019-02-10T16:05:00+02:00,20190210160500,201902101605003 ,"PASEO. REINA CRISTINA / CALL. ANDRES TORREJON, 9",3  RETIRO,3 ,Frontal-lateral collision,NULL,0,Driver,21 - 24,Man,NULL,442.124.157,4.473.170.424,0
2019S009806,2019-02-08T21:40:00+02:00,20190208214000,201902082140001 ,"CALL. MESON DE PAREDES / CALL. JUANELO, 10",1  CENTRO,1 ,Frontal-lateral collision,Clear,0,Driver,25 - 29,Man,0,440.179.370,4.473.656.788,0
2019S009942,2019-02-11T14:15:00+02:00,20190211141500,201902111415004 ,"CALL. ALCALA, 101",4  SALAMANCA,4 ,Scope,Clear,0,Driver,25 - 29,Man,0,442.051.387,4.474.763.641,0
2019S009957,2019-02-11T16:13:00+02:00,20190211161300,201902111613004 ,"CALL. SERRANO, 8",4  SALAMANCA,4 ,Scope,Clear,0,Driver,35 - 39,Man,0,441.589.896,4.474.763.660,0
2019S010276,2019-02-02T11:30:00+02:00,20190202113000,2019020211300013,"CALL. MARTINEZ DE LA RIVA, 4",13  PUENTE DE VALLECAS,13,Lateral collision,Clear,0,Driver,40 - 44,Man,NULL,443.347.135,4.471.841.353,0
2019S010289,2019-02-11T9:15:00+02:00,201902119:5:0+,201902119:5:0+7 ,"CALL. MIGUEL ANGEL, 29",7  CHAMBERÍ,7 ,Frontal-lateral collision,Clear,0,Driver,25 - 29,Man,1,441.421.050,4.476.531.115,0
2019S010293,2019-02-12T22:00:00+02:00,20190212220000,201902122200001 ,"PASEO. PRADO, 2",1  CENTRO,1 ,Scope,Clear,0,Driver,25 - 29,Man,1,441.118.925,4.474.411.318,0
2019S010360,2019-02-13T14:25:00+02:00,20190213142500,201902131425004 ,"CALL. CONDE DE PEÑALVER, 38",4  SALAMANCA,4 ,Scope,Clear,0,Driver,55 - 59,Woman,1,442.717.608,4.475.606.378,0
2019S010365,2019-02-12T19:05:00+02:00,20190212190500,201902121905007 ,"GTA. QUEVEDO / CALL. SAN BERNARDO, 1",7  CHAMBERÍ,7 ,Lateral collision,Clear,0,Driver,30 - 34,Man,0,440.249.383,4.476.111.443,0
2019S010653,2019-02-14T14:20:00+02:00,20190214142000,201902141420003 ,"PASEO. INFANTA ISABEL, 17",3  RETIRO,3 ,Lateral collision,Clear,0,Driver,21 - 24,Man,0,441.641.903,4.473.131.909,0
2019S010716,2019-02-14T18:00:00+02:00,20190214180000,201902141800003 ,"AVDA. MENENDEZ PELAYO, 38",3  RETIRO,3 ,Fall,Clear,0,Driver,35 - 39,Woman,NULL,442.250.850,4.472.927.385,0
2019S010849,2019-02-14T20:00:00+02:00,20190214200000,201902142000007 ,"CALL. SANTA ENGRACIA, 6",7  CHAMBERÍ,7 ,Hitting a person,Clear,0,Driver,25 - 29,Man,1,440.962.718,4.475.537.912,0
2019S010849,2019-02-14T20:00:00+02:00,20190214200000,201902142000007 ,"CALL. SANTA ENGRACIA, 6",7  CHAMBERÍ,7 ,Hitting a person,Clear,0,Pedestrian,25 - 29,Man,0,440.962.718,4.475.537.912,0
2019S010852,2019-02-13T17:30:00+02:00,20190213173000,2019021317300016,"CALL. SILVANO / CALL. FRANCISCO MOSQUEDA, 162",16  HORTALEZA,16,Hitting a person,Clear,0,Driver,45 - 49,Man,1,446.769.157,4.479.288.081,0
2019S010852,2019-02-13T17:30:00+02:00,20190213173000,2019021317300016,"CALL. SILVANO / CALL. FRANCISCO MOSQUEDA, 162",16  HORTALEZA,16,Hitting a person,Clear,0,Pedestrian,21 - 24,Woman,0,446.769.157,4.479.288.081,0
2019S010855,2019-02-14T18:00:00+02:00,20190214180000,2019021418000014,AUTOV. M-40 CON AVDA. DOCTOR GARCIA TAPIA,14  MORATALAZ,14,Scope,Clear,0,Driver,50 - 54,Man,0,447.036.201,4.473.090.434,0
2019S010907,2019-01-25T4:00:00+02:00,201901254:0:0+,201901254:0:0+1 ,"CALL. GRAN VIA, 78",1  CENTRO,1 ,Frontal-lateral collision,NULL,0,Driver,21 - 24,Man,1,439.723.297,4.474.977.990,0
2019S010951,2019-02-15T14:10:00+02:00,20190215141000,201902151410003 ,"GTA. ANGEL CAIDO, 4",3  RETIRO,3 ,Fall,Clear,0,Driver,45 - 49,Woman,1,442.044.127,4.473.590.577,0
2019S011089,2019-02-16T14:05:00+02:00,20190216140500,201902161405001 ,"RONDA DE VALENCIA CON GLORIETA DE EMBAJADORES, 18",1  CENTRO,1 ,Lateral collision,Clear,0,Driver,35 - 39,Man,NULL,440.448.384,4.472.982.627,0
2019S011128,2019-02-17T9:00:00+02:00,201902179:0:0+,201902179:0:0+11,"AVDA. POBLADOS / CALL. ANTONIO ROMERO, 110",11  CARABANCHEL,11,Scope,Clear,0,Driver,35 - 39,Man,1,438.819.807,4.468.985.406,0
2019S011335,2019-02-16T17:10:00+02:00,20190216171000,201902161710002 ,"PASEO. CHOPERA, 2",2  ARGANZUELA,2 ,Fall,Clear,0,Driver,35 - 39,Woman,1,440.402.235,4.471.979.964,0
2019S011338,2019-02-16T19:55:00+02:00,20190216195500,2019021619550011,"CALL. JOAQUIN TURINA, 31",11  CARABANCHEL,11,Fall,Clear,0,Driver,45 - 49,Woman,1,436.049.152,4.469.354.022,0
2019S012142,2019-02-20T7:45:00+02:00,201902207:5:0+,201902207:5:0+1 ,"CALL. ATOCHA, 104",1  CENTRO,1 ,Fall,Clear,0,Driver,15 - 17,Woman,0,440.998.615,4.473.545.957,0
2019S012186,2019-02-19T11:57:00+02:00,20190219115700,2019021911570010,"CALL. IGLESIAS EXTRAMUROS / AVDA. PESETA, 10",10  LATINA,10,Frontal-lateral collision,Clear,0,Driver,50 - 54,Man,0,435.087.085,4.468.859.526,0
2019S013090,2019-02-23T21:15:00+02:00,20190223211500,201902232115009 ,"PLAZA. ESPAÑA, 16",9  MONCLOA-ARAVACA,9 ,Scope,Clear,0,Driver,21 - 24,Man,1,439.497.277,4.475.020.228,0
2019S013198,2019-02-23T10:35:00+02:00,20190223103500,201902231035002 ,"CALL. PARROCO EUSEBIO CUENCA, 46",2  ARGANZUELA,2 ,Fall,Clear,0,Driver,40 - 44,Man,1,441.575.543,4.471.866.182,0
2019S013570,2019-02-25T16:50:00+02:00,20190225165000,201902251650001 ,"CALL. ESPARTEROS, 12",1  CENTRO,1 ,Fall,Clear,0,Driver,30 - 34,Woman,0,440.166.601,4.474.137.004,0
2019S013666,2019-02-20T10:30:00+02:00,20190220103000,2019022010300013,"CALL. MANCHA / AVDA. ENTREVIAS, 1",13  PUENTE DE VALLECAS,13,Lateral collision,Clear,0,Driver,25 - 29,Man,1,443.240.362,4.470.333.673,0
2019S013729,2019-01-29T16:26:00+02:00,20190129162600,201901291626001 ,"PASEO. RECOLETOS, 23",1  CENTRO,1 ,Fall,Light rain,0,Driver,45 - 49,Man,1,441.287.733,4.474.891.012,0
2019S013751,2019-02-27T10:25:00+02:00,20190227102500,201902271025003 ,"PASEO. FERNAN NUÑEZ / PASEO. VENEZUELA, 1",3  RETIRO,3 ,Fall,Clear,0,Driver,50 - 54,Man,1,441.693.351,4.473.490.477,0
2019S013812,2019-02-27T18:40:00+02:00,20190227184000,201902271840007 ,"PASEO. GENERAL MARTINEZ CAMPOS / CALL. MODESTO LAFUENTE, 39",7  CHAMBERÍ,7 ,Scope,Clear,0,Driver,55 - 59,Man,0,440.940.647,4.476.279.170,0
2019S013863,2019-02-28T8:45:00+02:00,201902288:5:0+,201902288:5:0+21,"GTA. SINTRA / CALL. VIA DE DUBLIN, 1",21  BARAJAS,21,Frontal-lateral collision,Clear,0,Driver,45 - 49,Man,0,447.982.355,4.480.245.196,0
2019S013888,2019-02-28T7:30:00+02:00,201902287:0:0+,201902287:0:0+7 ,"PASEO. CASTELLANA, 29",7  CHAMBERÍ,7 ,Fall,Clear,0,Driver,18 - 20,Man,0,441.526.705,4.475.814.984,0
2019S013972,2019-03-02T4:00:00+02:00,201903024:0:0+,201903024:0:0+1 ,"PASEO. PRADO, 48",1  CENTRO,1 ,Fall,Clear,0,Driver,50 - 54,Man,0,441.241.952,4.473.478.808,1
2019S013999,2019-03-01T13:00:00+02:00,20190301130000,201903011300007 ,"CALL. MODESTO LAFUENTE, 61",7  CHAMBERÍ,7 ,Fall,Clear,0,Driver,50 - 54,Man,0,440.995.376,4.477.322.478,0
2019S014004,2019-03-01T20:45:00+02:00,20190301204500,201903012045003 ,"PASEO. PRADO, 13",3  RETIRO,3 ,Frontal-lateral collision,Clear,0,Driver,18 - 20,Man,1,441.245.494,4.473.585.805,0
2019S014016,2019-03-01T12:30:00+02:00,20190301123000,2019030112300014,"CALL. HACIENDA DE PAVONES / CALL. BRUJAS, 356",14  MORATALAZ,14,Frontal-lateral collision,Clear,0,Driver,15 - 17,Man,0,446.715.696,4.472.212.970,0
2019S014113,2019-03-02T13:30:00+02:00,20190302133000,201903021330002 ,"PASEO. MOLINO, 1",2  ARGANZUELA,2 ,Fall,Clear,0,Driver,25 - 29,Woman,1,441.068.131,4.471.370.787,0
2019S014125,2019-03-02T14:50:00+02:00,20190302145000,201903021450006 ,"CALL. RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA, 69",6  TETUÁN,6 ,Fall,Clear,0,Driver,35 - 39,Woman,0,441.308.611,4.477.508.063,0
2019S014153,2019-03-01T12:10:00+02:00,20190301121000,201903011210002 ,"RONDA. ATOCHA, 7",2  ARGANZUELA,2 ,Fall,Clear,0,Driver,40 - 44,Man,0,441.014.613,4.473.170.420,0
2019S014196,2019-03-03T23:25:00+02:00,20190303232500,201903032325001 ,"PLAZA. EMPERADOR CARLOS V, 1",1  CENTRO,1 ,Lateral collision,Clear,0,Driver,55 - 59,Man,0,441.308.313,4.473.394.106,0
2019S014242,2019-03-03T20:55:00+02:00,20190303205500,201903032055007 ,"CALL. PRINCESA / CALL. HILARION ESLAVA, 70",7  CHAMBERÍ,7 ,Frontal-lateral collision,Clear,0,Driver,21 - 24,Woman,0,439.193.847,4.475.913.350,0
2019S014246,2019-02-22T20:05:00+02:00,20190222200500,2019022220050011,"CALL. GENERAL RICARDOS, 18",11  CARABANCHEL,11,Scope,Clear,0,Driver,40 - 44,Man,1,439.037.379,4.472.005.259,0
2019S014256,2019-03-04T16:05:00+02:00,20190304160500,2019030416050014,"CALL. ARROYO DE LA MEDIA LEGUA / CALL. CORREGIDOR DIEGO CABEZA DE VACA, 20",14  MORATALAZ,14,Frontal-lateral collision,Clear,0,Driver,18 - 20,Woman,0,444.341.363,4.473.488.371,0
2019S014263,2019-03-04T15:45:00+02:00,20190304154500,201903041545003 ,"CALL. ALFONSO XII / CALL. MONTALBAN, 10",3  RETIRO,3 ,Lateral collision,Clear,0,Driver,21 - 24,Man,0,441.556.529,4.474.421.309,0
2019S014289,2019-03-04T11:35:00+02:00,20190304113500,201903041135003 ,"RETIRO, 0",3  RETIRO,3 ,Fall,Clear,0,Driver,40 - 44,Man,1,441.699.987,4.474.512.126,0
2019S014303,2019-03-04T12:45:00+02:00,20190304124500,201903041245005 ,"PASEO. CASTELLANA, 92",5  CHAMARTÍN,5 ,Lateral collision,Clear,0,Driver,30 - 34,Woman,0,441.392.866,4.477.183.998,0
