PK;TIPO-CENTRO;CENTRO-DIA;HORARIO;EQUIPAMIENTO;METRO;BUS;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;DIRECCION;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;TIPO
91397;Centro de Día Municipal ;Canal_de_Panamá;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;Barrio Concepción;21, 53;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ab9138d60b41c010VgnVCM2000000c205a0aRCRD;CALLE CANAL DE PANAMA, 8, 28027 MADRID;5;SAN_PASCUAL;15;CIUDAD_LINEAL;444777;4476832;40.44030437921839;-3.651155675752811;917 547 726;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
4564016;Centro de Día Municipal ;Carmen_Conde;De 8:15 a 18 horas de Lunes a Viernes.;- Atención sociosanitaria preventiva y rehabilitadora. - Apoyo a la familia. - Aseo y cuidado personal. - Transporte adaptado. - Alimentación y nutrición.;Antón Martín;6, 26, 32;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;NO;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=39c1a2d7fe222110VgnVCM1000000b205a0aRCRD;CALLE AVE MARIA, 6, 28012 MADRID;2;EMBAJADORES;1;CENTRO;440582;4473705;40.41183679549594;-3.700312140810963;919 907 719;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
4563721;Centro de Día Municipal ;Carmen_Laforet;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;;29, 125, 129, 150;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42b0fca4c9222110VgnVCM1000000b205a0aRCRD;CALLE DALIA, 11, 28033 MADRID;9;COSTILLARES;15;CIUDAD_LINEAL;443468;4481240;40.479916756373086;-3.666981869808204;917 547 725;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
122328;Centro de Día Municipal ;Casa_de_Campo;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;Alto de Extremadura;31, 33, 36, 39, 65;hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=87b98899fc81c010VgnVCM1000000b205a0aRCRD;CALLE PRINCIPAL DE PROVINCIAS, 21, 28011 MADRID;1;CASA_DE_CAMPO;9;MONCLOA-ARAVACA;437501;4473819;40.41263811665935;-3.736633830449523;914 641 063;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
91383;Centro de Día Municipal ;Casino_de_la_Reina;De 8:15 a 18 horas de Lunes a Viernes.;- Atención sociosanitaria preventiva y rehabilitadora. - Apoyo a la familia. - Aseo y cuidado personal. - Transporte adaptado. - Alimentación y nutrición.;Embajadores;27, 31, 36, 41, 47, 60, 78, 116, 118, 119, 148Renfe: Embajadores;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;NO;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f1c138d60b41c010VgnVCM2000000c205a0aRCRD;CALLE CASINO, 5, 28005 MADRID;2;EMBAJADORES;1;CENTRO;440126;4473121;40.4065430951499;-3.705643094864955;915 396 310;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
173589;Centro de Día Municipal ;Castillo_de_Uclés;De 8:15 a 18 horas de lunes a viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;Simancas;28;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4b1085f5181c010VgnVCM1000000b205a0aRCRD;CALLE CASTILLO DE UCLES, 35, 28037 MADRID;1;SIMANCAS;20;SAN_BLAS-CANILLEJAS;447137;4475790;40.43106180744466;-3.6232433423754538;917 547 733;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
10911844;Centro de Día Municipal ;Ciudad_Pegaso_Cognitivo;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;;77;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c2544b052b679610VgnVCM1000001d4a900aRCRD;AVENIDA QUINTA, 5, 28022 MADRID;6;REJAS;20;SAN_BLAS-CANILLEJAS;449441;4477592;40.447438655156404;-3.5962132255605614;917 547 734;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
122316;Centro de Día Municipal ;Ciudad_Pegaso_Físicos;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;;77;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ddd98899fc81c010VgnVCM1000000b205a0aRCRD;AVENIDA QUINTA, 5, 28022 MADRID;6;REJAS;20;SAN_BLAS-CANILLEJAS;449441;4477592;40.447438655156404;-3.5962132255605614;917 547 734;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
11781;Centro de Día Municipal ;Concepción_Arenal;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;Mar de Cristal, Canillas;87, 73;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=44f6d4985261c010VgnVCM1000000b205a0aRCRD;CALLE JAVIER DEL QUINTO, 12, 28043 MADRID;3;CANILLAS;16;HORTALEZA;445557;4479741;40.46655261519155;-3.6422084742926653;913 820 736;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
10911863;Centro de Día Municipal ;El_Pardo_Cognitivo;De 8:15 a 18 horas de Lunes a Viernes.;Atención sociosanitaria preventiva y rehabilitadora. Apoyo a la familia. Aseo y cuidado personal. Transporte adaptado. Alimentación y nutrición.;;601;Documentación a aportar:   - Solicitud en impreso específico. - Informe médico donde se indique el diagnóstico o enfermedad. - Certificación de pensiones expedida por el servicio competente (seguridad social, ministerio de hacienda, etc) sobre el percibo de pensiones. - Fotocopia de la última declaración de la renta, o certificación negativa de la agencia tributaria, tanto del solicitante como del cónyuge o pareja de hecho, en su caso.  Información complementaria:  - Presentación de la solicitud en el centro de servicios sociales correspondiente al distrito municipal donde esté empadronado o resida el solicitante. - Valoración y propuesta por parte del trabajador social municipal. - Alta del servicio: Una vez valorada la idoneidad de la prestación del servicio por los técnicos municipales, la ocupación de la plaza vendrá determinada por la disponibilidad de plazas vacantes.;SI;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a5f89b17ec679610VgnVCM1000001d4a900aRCRD;CALLE GENERAL URRUTIA, 1, 28048 MADRID;1;EL_PARDO;8;FUENCARRAL-EL_PARDO;434488;4485430;40.51512789839167;-3.7746186974995117;916 313 737;/contenido/entidadesYorganismos/CentrosAtencionSocialMayores/CentrosDiaMayores
