Num_Inscripcion,Razon_Social,Tipo_Via,Calle,Numero,Aproximacion,Cod_Postal,Poblacion,CIF,Fecha_Registro,Primer_Tlfn,Email,Internet,Distrito,Barrio,Categoria,Ambito,Num_Socios,NumInscripcion_Fed_Vinculada,RazonSocial_Fed_Vinculada
968,"ASOCIACION DE MADRES Y PADRES DEL CONSERVATORIO PROFESIONAL DE MUSICA ""TERESA BERGANZA""",CALLE,PALMIPEDO,3,,28047,MADRID,G80763659,13/04/1994,915265176,secretaria@conservatorioteresaberganza.com,http://www.conservatorioteresaberganza.com.es,LATINA,LUCERO,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,36,,
966,CIRCULO CONVIVENCIAL LIMITE - CIRVITE,CALLE,ESPARTA,19,,28022,MADRID,G28870558,29/04/1994,913249293,info@cirvite.org,http://www.cirvite.org,SAN BLAS-CANILLEJAS,CANILLEJAS,OTRAS DE ACCIÓN SOCIAL,ESTATAL,85,975,PLENA INCLUSION MADRID. ORGANIZACION DE ENTIDADES EN FAVOR DE PERSONAS CON DISCAPACIDAD INTELECTUAL DE MADRID
962,ASOCIACION CULTURAL Y DEPORTIVA ACUDE - SAN MIGUEL,CALLE,JACINTO VERDAGUER,34,,28019,MADRID,G80879901,01/03/1994,646583487,dalonsourbano@gmail.com,http://www.acudecarabanchel.com	,CARABANCHEL,OPAÑEL,DEPORTIVAS,BARRIO,41,,
961,ASOCIACION JAIRE,PASAJE,PRADILLO,12,,28002,MADRID,G80618036,07/02/1994,915191260,asocjaire@yahoo.es,http://www.jaire.es,CHAMARTIN,PROSPERIDAD,JUVENILES,MUNICIPIO,82,1565,FEDERACION INJUCAM PARA LA PROMOCION DE LA INFANCIA Y LA JUVENTUD
959,ASOCIACION DE VECINOS HISPANOAMERICA,CALLE,POTOSI,8,5º A,28016,MADRID,G80723323,22/03/1994,669299360,info@metodosysistemas.com,,CHAMARTIN,HISPANOAMERICA,VECINALES,MUNICIPIO,95,,
957,ASOCIACION DE MADRES Y PADRES DE ALUMNOS DEL COLEGIO SAGRADOS CORAZONES,CALLE,PAN Y TOROS,45,,28041,MADRID,G80020407,18/02/1994,913172526,scorazonesmad@planalfa.es,,VILLAVERDE,LOS ANGELES,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,96,775,FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA
955,ASOCIACION DE MADRES Y PADRES DE ALUMNOS CULTURA Y DEMOCRACIA COLEGIO DE EDUCACION INFANTIL Y PRIMARIA JORGE GUILLEN,AVENIDA,EL FERROL,47,,28029,MADRID,G81146870,21/02/1994,696583895,ampajorgeguillen.2009@gmail.com,,FUENCARRAL-EL PARDO,EL PILAR,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,30,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
950,ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO LA RIOJA,CALLE,LEON FELIPE,3,,28038,MADRID,G79270948,17/12/1993,917773912,ampa.larioja@gmail.com,,PUENTE VALLECAS,PALOMERAS SURESTE,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,121,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
95,ASOCIACION DE VECINOS LA CORRALA  LATINA-RASTRO-LAVAPIES,CALLE,LAVAPIES,38,,28012,MADRID,G78997780,14/04/1988,914670509,lacorrala@telefonica.net,,CENTRO,EMBAJADORES,VECINALES,BARRIO,510,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
949,ASOCIACION DE VECINOS DE LA COLONIA DIEGO VELAZQUEZ,PLAZA,LAS MENINAS,2,BJ. C,28025,MADRID,G28275758,02/11/1993,915609935,avdiegovelazquez@gmail.com,,CARABANCHEL,ABRANTES,VECINALES,BARRIO,1200,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
946,ASOCIACION DE LA JUVENTUD DE USERA,AVENIDA,RAFAELA YBARRA,30,BJ.,28026,MADRID,G81447393,11/01/1994,914694771,,,USERA,ZOFIO,JUVENILES,DISTRITO,180,,
942,ASOCIACION DE MADRES Y PADRES DEL COLEGIO NUESTRA SEÑORA DE LA PALOMA,CALLE,TABERNILLAS,2,,28005,MADRID,G80137250,05/11/1993,912219689,ampaloma@gmail.com,http://www.afalapaloma.com,CENTRO,PALACIO,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,244,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
940,ASOCIACION CULTURAL ZAZUAR,CALLE,CASTRILLO DE AZA,13,ESC. CENTRO 4ºD,28031,MADRID,G80539026,02/07/1993,913312652,asoculzazu@gmail.com,,VILLA VALLECAS,SANTA EUGENIA,CULTURALES Y CASAS REGIONALES,COMUNIDAD DE MADRID,85,,
939,ASOCIACION DE JUBILADOS Y PENSIONISTAS DEL MAR DE MADRID,CALLE,ZURBANO,73,PLANTA BAJA,28010,MADRID,G78487303,11/11/1993,915223658,sociocultu@yahoo.es,,CHAMBERI,ALMAGRO,DE PERSONAS MAYORES. JUBILADAS Y PENSIONISTAS,MUNICIPIO,71,,
937,ASOCIACION DE PADRES DE ALUMNOS NUESTRA SEÑORA DE LAS VICTORIAS - AFANIAS,CALLE,MULLER,25,BJ-PTA.1,28039,MADRID,G80144595,25/10/1993,670735217,ampansvictorias@gmail.com,,TETUAN,VALDEACEDERAS,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,31,975,PLENA INCLUSION MADRID. ORGANIZACION DE ENTIDADES EN FAVOR DE PERSONAS CON DISCAPACIDAD INTELECTUAL DE MADRID
934,ASOCIACION DE PADRES DE ALUMNOS DEL COLEGIO LA PRESENTACION,CALLE,LARDERO,,14,28032,MADRID,G80306376,06/10/1993,917764323,ampapresentacion@gmail.com,https://www.ampapresentacion.miampa.com,VICALVARO,AMBROZ,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,459,775,FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA
932,ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO PUBLICO HERNAN CORTES,CALLE,LOS YEBENES,241,,28047,MADRID,G79620597,15/10/1993,627937353, hernancortes_ampa@hotmail.com,http://ceipbilinghernancortes.blogspot.com.es/,LATINA,ALUCHE,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,125,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
929,ASOCIACION DE AMAS DE CASA NUEVA ESPERANZA,CALLE,CALANDA,17,C/V C/ UTRILLAS. 14,28043,MADRID,G79178281,09/07/1993,913000306,mamosa51@hotmail.com,,HORTALEZA,CANILLAS,DE MUJERES,BARRIO,333,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
928,ASOCIACION DE AFECTADOS DE LA UNIDAD DE ACTUACION 18/18 MADRID,CALLE,BOIRO,69,,28042,MADRID,,05/10/1993,911398597,,,BARAJAS,CORRALEJOS,VECINALES,BARRIO,9,,
926,ASOCIACION NAZARET,CALLE,CUART DE POBLET,11,D,28047,MADRID,G79476297,08/09/1993,699102994,anazaret@gmail.com,http://www.nazaretasociacion.org,LATINA,LUCERO,OTRAS DE ACCIÓN SOCIAL,BARRIO,30,,
922,ASOCIACION CULTURAL ABRANTES - ASCA,AVENIDA,ABRANTES,111,,28025,MADRID,G80525231,16/07/1993,913414265,terevegasanchez@gmail.com,,CARABANCHEL,ABRANTES,CULTURALES Y CASAS REGIONALES,MUNICIPIO,70,,
921, ASOCIACION DE PERSONAS CON DISCAPACIDAD ALAMEDA (ADALA),CALLE,MEDINA DE POMAR,25,,28042,MADRID,G80572308,06/07/1993,917476251,adala@asociacionadala.com,,BARAJAS,ALAMEDA DE OSUNA,DE SALUD Y APOYO MUTUO,MUNICIPIO,68,975,PLENA INCLUSION MADRID. ORGANIZACION DE ENTIDADES EN FAVOR DE PERSONAS CON DISCAPACIDAD INTELECTUAL DE MADRID
920,CLUB DE CALVA CIUDAD LINEAL,CALLE,CARLOS HERNANDEZ,33,1º B,28017,MADRID,G79847653,24/06/1993,914089573,miguel_molero@hotmail.com,,CIUDAD LINEAL,VENTAS,DEPORTIVAS,MUNICIPIO,19,,
918,ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO DE EDUCACION INFANTIL Y PRIMARIA ISAAC PERAL,GLORIETA,RUFINO NOVALVOS,5,,28025,MADRID,G83374504,12/07/1993,666283586,,,CARABANCHEL,PUERTA BONITA,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,100,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
917,ASOCIACION DE VECINOS COLONIA CAMINO ALTO SAN ISIDRO,CAMINO,ALTO DE SAN ISIDRO,5,LOCAL,28019,MADRID,G80083108,23/06/1993,914717708,avaltosanisidro@gmail.com,http://www.avaltosanisidro.org,CARABANCHEL,SAN ISIDRO,VECINALES,BARRIO,65,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
916,ASOCIACION FAMILIAR SAN VICENTE DE PAUL,CALLE,PORTALEGRE,112,BJ. IZDA.,28025,MADRID,G78542750,18/06/1993,666703786,asociacionsvpaul@live.com,,CARABANCHEL,ABRANTES,OTRAS DE ACCIÓN SOCIAL,BARRIO,221,,
914,ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO PARQUE ALUCHE,CALLE,QUERO,47,PORTAL A,28024,MADRID,G28800613,09/06/1993,658965071,ampa.parquealuche.madrid@gmail.com,http://ampaparquealuche.blogspot.com,SIN DETERMINAR,ALUCHE,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,22,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
910,ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO PUBLICO RAMON PEREZ DE AYALA,CALLE,MOTILLA DEL PALANCAR,19,,28043,MADRID,G79462305,31/05/1993,913886392,amparpa@outlook.es,http://www.amparamonperezayala.org,HORTALEZA,CANILLAS,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,172,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
907,ASOCIACION CULTURAL ESCUELA DE ADULTOS ARGANZUELA,CALLE,EMBAJADORES,168,,28045,MADRID,G80505399,02/06/1993,679850240,margaritaboschaznar@gmail.com,,ARGANZUELA,CHOPERA,CULTURALES Y CASAS REGIONALES,MUNICIPIO,159,,
906,ACCION FAMILIAR MUNICIPIO DE MADRID,CALLE,PRINCIPE DE VERGARA,128,ESC.DCH. 1º LOCAL,28002,MADRID,G28545820,04/06/1993,914461011,administracion@accionfamiliar.org,http://www.accionfamiliar.org	,CHAMARTIN,CIUDAD JARDIN,FAMILIAS,MUNICIPIO,193,,
904,ASOCIACION DE VECINOS NUEVAS PALOMERAS,AVENIDA,PABLO NERUDA,5,(POSTERIOR),28038,MADRID,G78887742,18/05/1993,910834467,nuevaspalomeras@hotmail.es,,PUENTE VALLECAS,PALOMERAS SURESTE,VECINALES,BARRIO,450,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
902,ASOCIACION DE PADRES DE ALUMNOS COLEGIO MONTPELLIER,CALLE,VIRGEN DEL VAL,7,,28027,MADRID,G79340360,02/03/1993,638062670,apa-contabilidad@colegiomontpellier.es,,CIUDAD LINEAL,SAN PASCUAL,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,1031,775,FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA
900,ASOCIACION DE VECINOS ZONA RESIDENCIAL EL BOSQUE,CALLE,AÑASTRO,11,BJ.,28033,MADRID,G80255979,02/04/1993,913833092,avvelbosque@hotmail.com,http://www.asociaciondevecinoselbosque.es,HORTALEZA,APOSTOL SANTIAGO,VECINALES,BARRIO,390,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
895,ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO AMADEO VIVES,CALLE,LOS YEBENES,6,Y 8,28047,MADRID,G28673861,22/03/1993,627824269,AMADEOVIVESAPA@GMAIL.COM,http://amadeovivesapa.org	,LATINA,ALUCHE,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,112,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
894,ASOCIACION DE VECINOS DE PALOMERAS BAJAS,TRAVESIA,FELIPE DE DIEGO,31,POSTERIOR,28018,MADRID,G79732095,10/03/1993,915071658,avpalomerasbajas@gmail.com,http://avpalomeras.web,PUENTE VALLECAS,PALOMERAS BAJAS,VECINALES,BARRIO,423,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
892,ASOCIACION CULTURAL PUNTOS SUSPENSIVOS,CALLE,JOSE DE CADALSO,54,ESC. 1. 3º A,28044,MADRID,G80489347,01/03/1993,917060934,elcielotieneplayas@yahoo.es,,LATINA,LAS AGUILAS,CULTURALES Y CASAS REGIONALES,MUNICIPIO,18,,
890,ASOCIACION DE PADRES DE ALUMNOS DEL INSTITUTO DE EDUCACION SECUNDARIA ISABEL LA CATOLICA,CALLE,ALFONSO XII,3,Y 5,28014,MADRID,G28894665,03/02/1993,915277875,ampa.isabella@gmail.com,http://www.ampaiesisabellacatolica.blogspot.com.es,RETIRO,LOS JERONIMOS,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,280,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
888,ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO PUBLICO LUIS DE GONGORA,CALLE,CHANTADA,34,,28029,MADRID,G28876894,27/01/1993,917301660,luisdegongora.ampa@gmail.com,,FUENCARRAL-EL PARDO,EL PILAR,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,56,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
887,ASOCIACION CULTURAL Y DEPORTIVA VILLAVERDE - ASCUDEVI,PASEO,TALLERES,1,(CD.BOETICHER),28021,MADRID,G80273519,09/02/1993,917951792,funde_vi@hotmail.com,http://srvillaverdeboetticher.com,VILLAVERDE,LOS ANGELES,CULTURALES Y CASAS REGIONALES,MUNICIPIO,4,,
886,ASOCIACION DE PADRES DE ALUMNOS COLEGIO SAN FERMIN,CALLE,ESTAFETA,17,,28041,MADRID,G79882437,02/02/1993,917920535,,,USERA,SAN FERMIN,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,30,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
885,ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO REPUBLICA DEL PARAGUAY,CALLE,MANRESA,60,BIS,28034,MADRID,G85929917,26/02/1993,917343881,paraguayampa@gmail.com,http://amparepublicadelparaguay.org.fapa,FUENCARRAL-EL PARDO,VALVERDE,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,10,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
882,ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO JOVELLANOS,CALLE,MONROY,34,BIS,28044,MADRID,G79593513,01/03/1993,915091944,apajovellanos@hotmail.com,,LATINA,LAS AGUILAS,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,116,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
880,ASOCIACION DE COMERCIANTES DE ARAVACA,CALLE,ARROYO DE LA ELIPA,12,LOCAL 2,28017,MADRID,G80182330,22/02/1993,913571455,andres@aygaravaca.e.telefonica.net,http://www.comercioaravaca.com,CIUDAD LINEAL,PUEBLO NUEVO,COMERCIANTES.EMPRESARIOS.PROFESIONALES Y AUTÓNOMOS,COMUNIDAD DE MADRID,40,2098,FEDERACION DE EMPRESARIOS DE LA COMUNIDAD DE MADRID - FEDECAM
875,ASOCIACION DE PADRES DE ALUMNOS CENTRO EDUCACION ESPECIAL FRANCISCO DEL POZO,CALLEJON,DOMINE,6,,28034,MADRID,G79689683,28/01/1993,667022222,ampafcodelpozo@gmail.com,,FUENCARRAL-EL PARDO,VALVERDE,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,7,,
874,ASOCIACION DE PADRES DE ALUMNOS DE LAS ESCUELAS AGUIRRE,CALLE,PIO BAROJA,4,,28009,MADRID,G78803913,25/01/1993,914092510,ampaescuelasaguirre@gmail.com,http://www.escuelasaguirre.com	,RETIRO,NIÑO JESUS,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,209,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
873,ASOCIACION NUESTRA SEÑORA DE SONSOLES,CALLE,GOMEZ DE AVELLANEDA,2,BJ. DCHA.,28017,MADRID,G80339500,30/12/1992,913675693,eusebio_gonzalez@yahoo.es,,CIUDAD LINEAL,PUEBLO NUEVO,DE PERSONAS MAYORES. JUBILADAS Y PENSIONISTAS,BARRIO,15,,
872,ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO SANTO ANGEL DE LA GUARDA,CALLE,VILLUERCAS,4,,28053,MADRID,G28832947,08/01/1993,627933952,ampasantoangeldelaguarda@hotmail.com,,PUENTE VALLECAS,ENTREVIAS,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,49,775,FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA
871,ASOCIACION DE PADRES DE ALUMNOS DEL COLEGIO PUBLICO NUESTRA SEÑORA DE LA ALMUDENA,CALLE,LOPE DE RUEDA,48,,28009,MADRID,G28695484,24/11/1992,645393787,afacpalmudena@gmail.com,,RETIRO,IBIZA,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,53,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
870,AMPA CEIP CIUDAD DE ROMA,CALLE,JUAN ESPLANDIU,2,,28007,MADRID,G80154297,17/12/1992,,hola@ampacroma.org,http://www.ampacroma.org,RETIRO,ESTRELLA,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,320,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
87,ASOCIACION DE VECINOS UNION DE CARCAVAS-SAN ANTONIO,PLAZA,UNION CARCAVAS-SAN ANTONIO,,S/N,28050,MADRID,G78963956,22/03/1988,648100453,secretaria@asociacioncarcavas.com,http://asociacioncarcavas.com,HORTALEZA,VALDEFUENTES,VECINALES,BARRIO,1238,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
867,ASOCIACION DE PADRES DE ALUMNOS COLEGIO VALDELUZ,CALLE,FERMIN CABALLERO,53,,28034,MADRID,G78646866,24/11/1992,913780099,apa-vocalias@valdeluz.eu,http://www.colegio-valdelez.com,FUENCARRAL-EL PARDO,EL PILAR,DE MADRES Y PADRES DEL ALUMNADO,BARRIO,1079,775,FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA
863,ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO LEOPOLDO ALAS,CALLE,PEDREZUELA,18,,28017,MADRID,G80149693,28/10/1992,680363062,ampacpla@gmail.com,,CIUDAD LINEAL,VENTAS,DE MADRES Y PADRES DEL ALUMNADO,MUNICIPIO,25,407,"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO ""FRANCISCO GINER DE LOS RIOS"""
861,ASOCIACION FAMILIAR DEL ALTO DE EXTREMADURA,AVENIDA,APOSTOLES,22,BJ C,28011,MADRID,G79877346,16/10/1992,919200557,vecinosaltoextremadura@hotmail.com,,LATINA,PUERTA DEL ANGEL,VECINALES,BARRIO,42,67,FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM
