Num  Inscripción;Denominacion;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;Fecha_Registro;Primer_Tlfn;Email;Internet;Categoria;Ambito;Num_Personas
4000;CORAL POLIFONICA LOS MADROÑOS DE VICALVARO;CALLE;VILLARDONDIEGO;36;CENTRO CULTURAL EL MADROÑO;28032;MADRID;CASCO H.VICALVARO;27/09/2021;;anamariacoral88@gmail.com;;CULTURALES Y CASAS REGIONALES;BARRIO;3
4005;PLATAFORMA POR LA DIGNIDAD, LA LIBERTAD Y LA VIDA;CALLE;VIRTUDES;20;BAJO NUMERO 5;28010;MADRID;ALMAGRO;05/10/2021;667330345;plataforma.cultural.n@gmail.com;;DE PERSONAS CONSUMIDORAS Y USUARIAS;ESTATAL;30
4006;PLATAFORMA EL PUEBLO POR LA VERDAD;CALLE;VIRTUDES;20;PISO BAJO,NUMERO 5;28010;MADRID;ALMAGRO;05/10/2021;667330345;africa.ruiz10@gmail.com;;VECINALES;ESTATAL;70
4030;ENTRETEJIENDO;CALLE;LOS GALEOTE;1;ESCALERA 1, PLANTA 3ª, PUERTA A;28032;MADRID;CASCO H.VICALVARO;02/12/2021;619837020;antoniadomingobermejo@gmail.com;;DE MUJERES;BARRIO;3
4031;GRUPO BRISA FLAMENCA;CALLE;PINILLAS;5;PISO 4ª, LETRA B;28032;MADRID;VALDEBERNARDO       ;02/12/2021;686433907;brisaroci@gmail.com;;CULTURALES Y CASAS REGIONALES;DISTRITO;3
4035;PARROQUIA SANTA CECILIA;CALLE;MEDINA DE POMAR;11;;28042;MADRID;AEROPUERTO;14/12/2021;628054417;macaes000@gmail.com;;VECINALES;BARRIO;96
4036;ASOCIACION DE EMPRESAS PRODUCTORAS DE ARTES ESCENICAS DE LA COMUNIDAD DE MADRID (ARTEMAD);CALLE;MAYOR;6;5- 5 BIS;28013;MADRID;SOL;14/12/2021;915212164;secretaria@artemad.com;;CULTURALES Y CASAS REGIONALES;BARRIO;38
4039;ORGANIZACION NACIONAL DE CIEGOS ESPAÑOLES;CALLE;JOSE ORTEGA Y GASSET;18;;28006;MADRID;CASTELLANA;15/12/2021;915329774;ctmadrid@once.es;www.once.es;DE PERSONAS CON DISCAPACIDAD;BARRIO;6051
4045;ASOCIACION  ESPAÑOLA DE EMPRESAS DE MENSAJERIA;AVENIDA;GENERAL PERON;25;PLANTA 8ª, PUERTA E;28020;MADRID;CUATRO CAMINOS;25/01/2022;915567685;aem@aem-aem.es;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;ESTATAL;69
4046;ASOCIACION DE PRODUCTORES Y TEATROS DE MADRID -APTEM;CALLE;JUAN BRAVO;20;PISO 1º- IZQUIERDA (ENTREPLANTA);28006;MADRID;CASTELLANA;25/01/2022;914352068;info@aptem.es;www.aptem.es;CULTURALES Y CASAS REGIONALES; ;28
4065;UNION DE ACTORES Y ACTRICES;CALLE;GRAN VIA;62;PLANTA 3ª, PUERTA IZQUIERDA;28013;MADRID;UNIVERSIDAD;24/01/2022;608451253;finanzas@uniondeactores.com;;CULTURALES Y CASAS REGIONALES;ESTATAL;2510
4069;PLATAFORMA CULTURAL-Ñ;CALLE;VIRTUDES;20;PLANTA BAJA, PUERTA 5;28010;MADRID;ALMAGRO;02/02/2022;667330345;africa.ruiz10@gmail.com;;VECINALES;BARRIO;7
4071;ASOCIACION DE EMPRESARIAS Y EMPRESARIOS DEL COMERCIO DEL LIBRO DE MADRID ;CALLE;SANTIAGO RUSIÑOL;8;;28040;MADRID;CIUDAD UNIVERSITARIA;07/02/2022;915338836;info@libreriasdemadrid.es;www.libreriasdemadrid.es;CULTURALES Y CASAS REGIONALES; ;134
4080;ORGANIZACION SINDICAL DE ACCION DIRECTA;CALLE;RAFAEL SALAZAR ALONSO;7;LOCAL PUERTA IZQUIERDA;28007;MADRID;ESTRELLA;18/02/2022;722735984;organizacion@osad.es;www.osad.es;OTRAS DE ACCIÓN SOCIAL;ESTATAL;260
4082;REDES;CALLE;CARRERO JUAN RAMON;4;PLANTA BAJA;28025;MADRID;ABRANTES;23/02/2022;914624986;redes@redes.coop;;FAMILIAS;DISTRITO;4
4095;FEDERACION PROFESIONAL DEL TAXI DE MADRID;CALLE;PAYASO FOFO;24;;28018;MADRID;PALOMERAS BAJAS;17/03/2022;914777021;JULIOSANZ@FPTAXIMADRID.ES;www.fptaximadrid.es;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;COMUNIDAD DE MADRID; 
4098;PARROQUIA NUESTRA SEÑORA DE LORETO;CALLE;ALAS;21;;28042;MADRID;TIMON;17/03/2022;618175840;antoniomotriloar@hotmail.com;;OTRAS DE ACCIÓN SOCIAL;BARRIO;4
4102;AGRUPACION VECINAL OROTAVA CA;CALLE;MAZO;4;3º- PUERTA DERECHA;28017;MADRID;PUEBLO NUEVO;29/03/2022;605948150;avorotava@gmail.com;https://sites.google.com/view/avorotava/inicio?authuser=1;VECINALES;BARRIO;4
4103;PLATAFORMA CONTRA LA CORRUPCION EN ADULTOS TUTELADOS;CALLE;DOCTOR CASAL;21;3º- IZQUIERDA;28008;MADRID;CASA DE CAMPO;29/03/2022;628439468;adultostutelados@gmail.com;;FAMILIAS; ;4
4113;LLAVE 12;CALLE;BOTIJO;3;;28023;MADRID;ARAVACA;21/04/2022;609089235;frpcruz@telefonica.net;;CULTURALES Y CASAS REGIONALES; ;10
4119;ASOCIACION DE PROFESIONALES DE RADIO Y TELEVISION DE MADRID;CALLE;EVARISTO SAN MIGUEL;8;;28008;MADRID;ARGUELLES;10/05/2022;689522586;prensa@federacionartv.com;;DE COMUNICACIÓN;COMUNIDAD DE MADRID;320
4132;PLATAFORMA DE AYUDA A LOS NECESITADOS DE ARGANZUELA;PASEO;SANTA MARIA DE LA CABEZA;92;1 º G- 28045- MADRID;28045;MADRID;ACACIAS;13/06/2022;622287078;luis.miguel.ibanez.bravo@hotmail.com;;VECINALES;BARRIO;4
4160;QUEDAMOS A TOCAR;CALLE;SAN JUAN DE ORTEGA;10;PORTAL C;28050;MADRID;VALVERDE;21/07/2022;607963471;qatquedamosatocar@gmail.com;;OTRAS DE ACCIÓN SOCIAL;BARRIO;4
