Num Inscripción;Denominación;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;CIF;Fecha_Registro;Primer_Tlfn;Email;Internet;Categoria;Ambito;Num_Socios;Fecha IPM
3773;FUNDACION SAN JUAN DEL CASTILLO;CALLE;GERANIOS;30;;28029;MADRID;ALMENARA;G83666503;27/01/2020;652901834;fsanjuandelcastillo@jesuitas.es;;DE INMIGRANTES;ESTATAL;10; 
3774;FUNDACION ECONOMISTAS SIN FRONTERAS;CALLE;GAZTAMBIDE;50;;28015;MADRID;GAZTAMBIDE;G82316522;29/01/2020;915497279;ecosfron@ecosfron.org;;DE DERECHOS HUMANOS;MUNICIPIO;260; 
3783;FUNDACION DOMINGO MALAGON;CALLE;CARLOS SOLE;66;;28038;MADRID;PORTAZGO;G82574666;28/01/2020;616034684;fundacion.domingomalagon@yahoo.es;;CULTURALES Y CASAS REGIONALES;COMUNIDAD DE MADRID;8; 
3784;FUNDACION PRODIS;BULEVAR;INDALECIO PRIETO;2;;28032;MADRID;VALDEBERNARDO       ;G82622580;28/01/2020;6766355997;prodis@fundacionprodis.org;www.fundacionprodis.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;15; 
3785;FUNDACION TRIANGULO;CALLE;MELENDEZ VALDES;52;1º-D;28015;MADRID;GAZTAMBIDE;G81393548;28/01/2020;915930540;madrid@fundaciontriangulo.es;http://www.fundaciontriangulo.org;DE PERSONAS LGTBI;ESTATAL;3; 
3789;FUNDACION ALTIUS ESPAÑA;RONDA;SEGOVIA;34;LOCAL;28005;MADRID;IMPERIAL;G83317610;31/01/2020;912224050;azarza@fundacionaltius.org;http://www.fundacionaltius.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;450; 
3792;FUNDACIÓN JUAN XXIII-RONCALLI;AVENIDA;GRAN VIA DEL ESTE;1;;28032;MADRID;VALDERRIVAS         ;G78280880;30/01/2020;603815857;mesperanza@fundacionjuan23.org;http://www.fundacionjuanxxiii.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;10; 
3793;FUNDACION APROCOR ;CALLE;VICENTE MORALES;5;;28043;MADRID;PIOVERA;G81985558;30/01/2020;913886367;administracion@fundacionaprocor.com;http://www.fundacionaprocor.org;DE PERSONAS CON DISCAPACIDAD;ESTATAL;8; 
3795;FUNDACION ABRAZANDO ILUSIONES;CALLE;NARCISO SERRA;14;PLANTA 4ª, LETRA B;28007;MADRID;PACIFICO;G87632964;14/02/2020;660684775;secretariaabrazandoilusiones@gmail.com;http://www.abrazandoilusiones.es;OTRAS DE ACCIÓN SOCIAL;ESTATAL;4; 
3796;FUNDACION ATILANO SANCHEZ SANCHEZ;CALLE;PECHUAN;14;PLANTA BAJA;28002;MADRID;CIUDAD JARDIN;G86258290;14/02/2020;910294422;info@fundacionfass.org;http://www.fundacionfass.org;DE PERSONAS MAYORES, JUBILADAS Y PENSIONISTAS;ESTATAL;3; 
3806;FUNDACION INVERSION DUPLICACION DEL CROMOSOMA 15Q ;CALLE;CAMINO VIEJO DE LEGANES;146;PISO 4º, LETRA C;28025;MADRID;PUERTA BONITA;G87036893;10/03/2020;609124880;amorsal@cemad.es;;DE PERSONAS CON DISCAPACIDAD;ESTATAL;8; 
3816;FUNDACION PILARES PARA LA AUTONOMIA PERSONAL ;CALLE;RODRIGUEZ SAN PEDRO;10;3º -C;28015;MADRID;ARAPILES;G86020732;24/07/2020;911305228;pilares@fundacionpilares.org;;DE PERSONAS MAYORES, JUBILADAS Y PENSIONISTAS;ESTATAL;10; 
3820;FUNDACION PLAN INTERNACIONAL ESPAÑA;CALLE;PANTOJA;10;;28002;MADRID;CIUDAD JARDIN;G82895475;25/08/2020;696728511;begona.solorzano@plan-international.org;http://plan-international.es/;INFANTILES;ESTATAL;13; 
3823;FUNDACION ACCION CONTRA EL HAMBRE;CALLE;DUQUE DE SEVILLA;3;;28002;MADRID;EL VISO;G81164105;26/08/2020;626252901;lgonzalez@achesp.org;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;73072; 
3826;FUNDACION DE ESTUDIOS SOCIALISTAS FEDERICO ENGELS;CALLE;HERMANOS DEL MORAL;33;BAJO 3;28019;MADRID;OPAÑEL;G78772548;26/08/2020;629724830;libreria@fundacionfedericoengels.net;http://www.fundacionfedericoengels.net;CULTURALES Y CASAS REGIONALES;ESTATAL;250; 
3844;FUNDACION BALIA POR LA INFANCIA;CALLE;FERELUZ;44;;28039;MADRID;VALDEACEDERAS;G82920851;15/09/2020;667247076;Info@fundacionbalia.org;http://www.fundacionbalia.org;INFANTILES;ESTATAL;7; 
3852;FUNDACION GABEIRAS-LEGALMUSIC;PASEO;PINTOR ROSALES;82;BAJO IZQUIERDA;28008;MADRID;ARGUELLES;G87619110;30/09/2020;915215160;m.lorenzo@fundaciongabeiras.com;;CULTURALES Y CASAS REGIONALES;ESTATAL;5; 
3861;FUNDACION PARA LA ACCION SOCIAL POR LA MUSICA;CALLE;MORETO;10;;28014;MADRID;LOS JERONIMOS;G86780525;21/01/2021;651582435;ADMINISTRACION@FASM.ES;;JUVENILES;ESTATAL;8; 
3864;FUNDACION ALIANZA POR LOS DERECHOS, LA IGUALDAD Y LA SOLIDARIDAD INTERNACIONAL;CALLE;JAEN;13;LOCAL;28020;MADRID;CUATRO CAMINOS;G78426558;21/01/2021;915986290;aps@aporsolidaridad.org;http://www.alianzaporlasolidaridad.org;DE DERECHOS HUMANOS;ESTATAL;24; 
3865;FUNDACION DIVERSITAS ;CALLE;GENERAL ALVAREZ DE CASTRO;14;1º LETRA D;28010;MADRID;TRAFALGAR;G86103355;22/01/2021;915943222;ignacio.sanguesa@fundaciondiversitasmadrid.org;http://www.fundaciondiversitasmadrid.org;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;5; 
3874;FUNDACION MANANTIAL;CALLE;POETA ESTEBAN DE VILLEGAS;12;BAJO;28014;MADRID;LOS JERONIMOS;G81237257;01/02/2021;913717292;manantial@fundacionmanantial.org;http://fundacionmanantial.org;DE PERSONAS CON DISCAPACIDAD;ESTATAL;8; 
3891;FUNDACION YEHUDI MENUHIN ESPAÑA (FYME);AVENIDA;CIUDAD DE BARCELONA;208;1º A;28007;MADRID;ADELFAS;G82260282;10/02/2021;677305465;FYME@FUNDACIONYEHUDIMENUHIN.ORG;http://www.fundacionyehudimenuhin.org;INFANTILES;ESTATAL;715; 
3899;FUNDACION LUZ CASANOVA;CALLE;SANTA ENGRACIA;11;;28010;MADRID;TRAFALGAR;G85130771;11/02/2021;914454169;proyectos@proyectosluzcasanova.org;http://www.proyectosluzcasanova.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;7; 
3907;FUNDACION DEPORTIVA Y CULTURAL MARATHON;CALLE;FUENCARRAL;139;PISO 3º, PUERTA D;28010;MADRID;TRAFALGAR;G83926410;18/02/2021;696126313;info@fundacionmarathon.org;http://www.fundacionmarathon.org;DEPORTIVAS;ESTATAL;7; 
3928;FUNDACION ODONTOLOGIA SOLIDARIA;CALLE;MARIA TERESA LEON;11;;28051;MADRID;ENSANCHE DE VALLECAS;G81833667;27/05/2021;938792479;odadmin@odsolidaria.org;http://www.odsolidaria.org;DE SALUD Y APOYO MUTUO;ESTATAL;9; 
3931;FUNDACION INCLUSIVE;CALLE;EDGAR NEVILLE;28;PISO BAJO,  PUERTA 3ª;28020;MADRID;CUATRO CAMINOS;G86627015;28/05/2021;917708090;inclusive@fundacioninclusive.org;http://www.fundacioninclusive.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;7; 
3943;FUNDACION TALITA FUNDACION PRIVADA MADRID;CALLE;EMILIANO BARRAL;7;LOCAL 6;28043;MADRID;SAN JUAN BAUTISTA;G85941359;28/06/2021;915630713;info@fundaciontalitamadrid.es;www.fundaciontalitamadrid.es;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;6; 
3963;FUNDACION PEDRO ZEROLO;PASEO;PINTOR ROSALES;56;PISO 2º, PUERTA DERECHA;28008;MADRID;ARGUELLES;G88193206;07/07/2021;915498678;info@fundacionpedrozerolo.es;www.fundacionpedrozerolo.es;DE PERSONAS LGTBI;ESTATAL;19; 
3994;FUNDACION JOSE MARIA DE LLANOS;CALLE;LOS BARROS;11;;28053;MADRID;ENTREVIAS;G78511292;15/09/2021;917858955;fundacion@fundacionjosemariadellanos.es;www.fundacionjosemariadellanos.es;DE MUJERES;COMUNIDAD DE MADRID;9; 
4010;FUNDACION ASAM FAMILIA - SALUD Y AYUDA MUTUA;CALLE;LOS YEBENES;241;PLANTA BAJA;28047;MADRID;ALUCHE;G86258399;04/11/2021;639881345;fundacionasam@fundacionasamfamilia.org;WWW.FUNDACIONASAMFAMILIA.ORG;DE SALUD Y APOYO MUTUO;COMUNIDAD DE MADRID;6; 
4012;FUNDACION PLAZA DE LOS OFICIOS;AVENIDA;GUADALAJARA;28;;28032;MADRID;ARCOS;G87403150;04/11/2021;661469723;rvaliente@colegionicoli.org;https:\\www.plazadelosoficios.org;JUVENILES;COMUNIDAD DE MADRID;6; 
4013;FUNDACION INVESTIGACION EN EPILEPSIAS GENETICAS;CALLE;TOLEDO;46;PLANTA 1ª;28005;MADRID;PALACIO;G87042701;04/11/2021;660426603;abmmontesinos@gmail.com;;DE PERSONAS CON DISCAPACIDAD;ESTATAL;5; 
4015;FUNDACION DALMA;CALLE;CLAUDIO COELLO;91;BAJO;28006;MADRID;CASTELLANA;G85352938;10/11/2021;917814540;belen.ibanez@fundaciondalma.org;www.fundaciondalma.org;DE PERSONAS CON DISCAPACIDAD;ESTATAL;8; 
4018;FUNDACION ALAMEDILLAS;AVENIDA;ABRANTES;45;;28025;MADRID;ABRANTES;G86465580;10/11/2021;915651468;ADMINISTRACION@ALAMEDILLAS.ORG;;INFANTILES;ESTATAL;9; 
4022;FUNDACION YOUR OWN WATER (TU PROPIA AGUA), ;CALLE;VELAZQUEZ;25;PISO 6ª, PUERTA A;28001;MADRID;RECOLETOS;G87697553;23/11/2021;654963812;prieres@gmail.com;;PARA LA COOPERACIÓN AL DESARROLLO;ESTATAL;8; 
4029;FUNDACION NANTIK LUM;PASEO;CASTELLANA;89;BAJO;28046;MADRID;CUATRO CAMINOS;G83662098;30/11/2021;917374827;patriciaalguero@nantiklum.org;www.nantiklum.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;7; 
4032;FUNDACION KYRIOS DE APOYO PERSONAL;CALLE;LAUREL;21;PLANTA 1ª, PUERTA B;28005;MADRID;ACACIAS;G85846145;02/12/2021;914574694;aliciajm@ftkyrios.org;WWW.FTKYRIOS.ORG;DE PERSONAS CON DISCAPACIDAD;ESTATAL;6; 
4040;FUNDACION PSICOLOGIA SIN FRONTERAS;CUESTA;SAN VICENTE;4;PLANTA 6ª;28008;MADRID;ARGUELLES;G86887411;11/01/2022;600425769;psf@psicologossinfronteras.net;;DE SALUD Y APOYO MUTUO;ESTATAL;3; 
4057;FUNDACION EDUCATIVA AGORA;CALLE;MARQUES DE PORTUGALETE;17;;28027;MADRID;SAN PASCUAL;G87934782;24/01/2022;619762602;contacto@fundagora.org;www.fundagora.com;DE ESTUDIANTES /ALUMNADO;COMUNIDAD DE MADRID;5; 
4060;FUNDACION ASPEN INSTITUTE ESPAÑA;CALLE;PRINCESA;18;PALNTA BAJA, PUERTA IZQUEIRDA;28008;MADRID;UNIVERSIDAD;G86104965;24/01/2022;684280445;diego.herrero@aspeninstitute.es;https://aspeninstitute.es/;OTRAS DE ACCIÓN SOCIAL;ESTATAL;13; 
4061;FUNDACION HAY SALIDA;CALLE;ENRIQUE LARRETA;7;ENTREPLANTA, PUERTA A;28036;MADRID;CASTILLA;G85913358;24/01/2022;912504875;info@fundacionhaysalida.com;https://www.fundacionhaysalida.com;DE SALUD Y APOYO MUTUO;COMUNIDAD DE MADRID;9; 
4091;FUNDACION PSICO-BALLET MAITE LEON;CALLE;VIZCONDE DE LOS ASILOS;5;;28027;MADRID;QUINTANA;G78392941;15/03/2022;917422320;psicoballet@psicoballetmaiteleon.org;www.psicoballetmaiteleon.org;CULTURALES Y CASAS REGIONALES;ESTATAL;7; 
4108;FUNDACION ACOMPAÑANDO PROCESOS;CALLE;PRINCIPE DE VERGARA;122;PISO 5º, LETRA B;28002;MADRID;PROSPERIDAD;G02731156;29/03/2022;661584994;acomprocesos@gmail.com;;FAMILIAS;ESTATAL;4; 
4114;FUNDACION PADRE GARRALDA-HORIZONTES ABIERTOS;CALLE;PADRE RUBIO;76;BAJO;28029;MADRID;ALMENARA;G83618850;26/04/2022;918317533;cfavieres@horizontesabiertos.org;www.horizontesabiertos.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;10; 
4115;FUNDACION IBN BATTUTA;CALLE;PUERTO DEL MILAGRO;6;;28018;MADRID;PALOMERAS BAJAS;G66052960;26/04/2022;914682859;aallaouzi@fundacionibnbattuta.org;www.fundacionibnbattuta.org;DE INMIGRANTES;ESTATAL;8; 
4118;RADIO ECCA, FUNDACION CANARIA;CALLE;GERANIOS;30;;28029;MADRID;ALMENARA;G35103431;10/05/2022;915931165;s.bueno@radioecca.org;www.radioecca.org;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;15; 
4124;FUNDACION RAILES;AVENIDA;RAFAEL ALBERTI;4;;28038;MADRID;PALOMERAS SURESTE;G67887000;10/05/2022;913807370;direccion.general@fundacionrailes.org;;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;10; 
4125;FUNDACION SEGUNDA PARTE;PLAZA;PUERTO DE LA CRUZ;3;PLANTA BAJA, PUERTA 2;28029;MADRID;EL PILAR;G06764062;25/05/2022;625325109;juanjo.gh@fundacionsegundaparte.org;https://fundacionsegundaparte.org/;DEPORTIVAS;ESTATAL;8; 
4131;FUNDACION SAN EZEQUIEL MORENO;CALLE;GERMAN PEREZ CARRASCO;85;;28027;MADRID;QUINTANA;G50884907;10/06/2022;622259179;infomadrid@fundacionsanezequiel.org;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;8; 
4134;FUNDACION LA SALLE SAN JOSE;CALLE;LA SALLE;8;28023- MADRID;28023;MADRID;VALDEMARIN;G80442452;13/06/2022;676121523;comunicacion@lasallesanjoseobrasocial.es;;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;3; 
4137;FUNDACION M.TRINIDAD CARRERAS;CALLE;BUESO PINEDA;21;;28043;MADRID;SAN JUAN BAUTISTA;G86199221;13/06/2022;682927615;bdiaz@fundacionmtrinidadcarreras.org;www.fundacionmtrinidadcarreras.org;PARA LA COOPERACIÓN AL DESARROLLO;ESTATAL;6; 
