Num_Inscripcion;Razon_Social;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;CIF;Fecha_Registro;Primer_Tlfn;Email;Internet;Categoria;Ambito;Asoc_Totales;Asoc_Madrid;Socios_totales;Socios_Madrid
3896;PLATAFORMA DE ORGANIZACIONES DE INFANCIA DE LA COMUNIDAD - POI MADRID;CALLE;ESCOSURA;3;LOCAL 2; ; ; ;G84727627;11/02/2021;915340143;poimadrid@plataformadeinfancia.org;http://www.poimadrid.org;INFANTILES;COMUNIDAD DE MADRID;27;27;160254;160254
3886;FEDERACION ESPAÑOLA DE TIRO CON ARCO;CALLE;ALTAMIRANO;30;; ; ; ;Q2878039C;08/02/2021;619414033;rfeta@federarco.es;http://federarco.es;DEPORTIVAS;ESTATAL;0;0;0;0
3862;FEDERACION MADRILEÑA DE PIRAGÜISMO;CARRETERA;EL PARDO;2;KM 1; ; ; ;G79414611;21/01/2021;913950127;fmp@piraguamadrid.com;http://www.piraguamadrid.com;DEPORTIVAS;COMUNIDAD DE MADRID;17;17;6046;6046
3856;FEDERACION  DE ASOCIACIONES DE ASISTENCIA A VICTIMAS DE VIOLENCIA SEXUAL Y DE GENERO (FAMUVI);AVENIDA;REAL DE PINTO;26;1º - D; ; ; ;G80271588;20/01/2021;636858923;gestioneconomica@stopviolenciasexual.org;http://www.stopviolenciasexual.org;FAMILIAS;ESTATAL;6;0;1176;0
3835;CONFEDERACION DE JUVENTUDES MUSICALES DE ESPAÑA;CALLE;ABDON TERRADAS;3;PUERTA IZQUIERDA; ; ; ;G08490559;27/08/2020;629302595;info@jmspain.org;http://www.jmspain.org;CULTURALES Y CASAS REGIONALES;ESTATAL;115;1;0;470
3828;FEDERACION ESPAÑOLA DE MUJERES DIRECTIVAS, EJECUTIVAS, PROFESIONALES Y EMPRESARIAS - FEDEPE;CALLE;PEÑA GORBEA;2;6º; ; ; ;G80160211;27/08/2020;691738260;secretaria@mujeresfedepe.com;;DE MUJERES;ESTATAL;22;5;0;535483
3811;FEDERACION EMPRESARIAL DE ASOCIACIONES TERRITORIALES DE AGENCIAS DE VIAJES ESPAÑOLAS - FETAVE;CALLE;MIGUEL ANGEL;1;PORTAL DUP PL BAJA; ; ; ;G84563584;24/07/2020;600049413;fetave@fetave.es;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;ESTATAL;12;1;0;40
3733;FEDERACION CORAL DE MADRID ;CALLE;GOYA;99;2º - DCHA.;28009;MADRID; ;G78175999;25/10/2019;655690680;fecormad@fecormad.es;http://www.fecormad.es;CULTURALES Y CASAS REGIONALES;COMUNIDAD DE MADRID;116;85;4036;2919
3701;FEDERACION DE ASOCIACIONES PROTECTORAS Y DE DEFENSA ANIMAL DE LA COMUNIDAD DE MADRID;CALLE;DELFIN;13;3º A;28029;MADRID; ;V84661164;13/08/2019;606994228;fapa@fapam.org;http://www.fapam.org;DE DEFENSA DE LOS ANIMALES;COMUNIDAD DE MADRID;15;15;2890;2890
3693;FEDERACION MADRILEÑA DE SALVAMENTO Y SOCORRISMO;AVENIDA;SALAS DE LOS INFANTES;1;4º;28034;MADRID; ;G78420932;13/08/2019;650436842;gerente@fmss.es;http://www.fmss.es;DEPORTIVAS;COMUNIDAD DE MADRID;11;11;1418;902
3650;FEDERACION ESPAÑOLA DE DAÑO CEREBRAL ;CALLE;AGUSTIN DE BETANCOURT;21;PLANTA 8ª;28003;MADRID;RIOS ROSAS;G41792284;14/05/2019;914178905;mbarbero@fedace.org;;DE PERSONAS CON DISCAPACIDAD;ESTATAL;46;4;10719;520
3619;FEDERACION DE ASOCIACIONES DE ESCLEROSIS MULTIPLE DE MADRID (FADEMM);CALLE;SAN LAMBERTO;5;;28017;MADRID; ;G83715474;01/04/2019;606053326;presidencia@fademm.org;;DE SALUD Y APOYO MUTUO;COMUNIDAD DE MADRID;10;1;2387;1086
3568;FEDERACION MADRILEÑA DE KARATE Y DISCIPLINAS ASOCIADAS (DA);CALLE;ALBERCHE;21;;28007;MADRID; ;G79206975;31/01/2019;915018144;info@fmkarate.com;http://fmkarate.com;DEPORTIVAS;COMUNIDAD DE MADRID;324;120;16558;5203
3565;UNION DE ASOCIACIONES DE TETUAN MERCADO DE SAN ENRIQUE;CALLE;MERCEDES;6;;28020;MADRID; ;;07/02/2019;915705679;unionsanenrique@gmail.com;;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;8;8;13757;13757
3519;UNION DE ASOCIACIONES FAMILIARES;CALLE;ALBERTO AGUILERA;3;PLANTA 1ª, PUERTA IZQDA.;28015;MADRID; ;G79040796;19/10/2018;914463162;unaf@unaf.org;http://unaf.org;FAMILIAS;ESTATAL;21;16;56892;14752
3511;CONFEDERACION NACIONAL DE CENTROS ESPECIALES DE EMPLEO - CONACEE;PASEO;CASTELLANA;135;PLANTA 7;28046;MADRID;CASTILLEJOS;V62552781;09/10/2018;911262254;gerencia@conacee.org;www.conacee.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;17;1;340;52
3510;FEDERACION DE ENTIDADES Y CENTROS PARA LA INTEGRACION Y AYUDA DE MARGINADOS - FACIAM;CALLE;VIA CARPETANA;47;;28047;MADRID; ;G28697324;09/10/2018;915595923;faciam@faciam.org;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;9;7;10638;10448
3400;FED. DE COORD ASOC DE PERSONAS CON DISCAPACIDAD FISICA DE LAS COMU. AUT. DE ESPAÑA (FED. COAMIFICOA ;CALLE;AZABACHE;1BIS;LOCAL 1;28019;MADRID; ;G46942645;17/04/2018;913016048;COAMIFICOA@COAMIFICOA.ES;http://www.coamificoa.es;DE PERSONAS CON DISCAPACIDAD;ESTATAL;11;1;7400;57
3399;AMISTAD INTERNACIONAL SCOUT Y GUIA -ESPAÑA;CALLE;ENTRE ARROYOS;19;PUERTA BIS;28030;MADRID; ;G80782139;25/04/2018;629393387;secretaria@aisg.es;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;17;1;363;80
3313;ASOCIACION RED MADRILEÑA DE LUCHA CONTRA LA POBREZA Y LA EXCLUSION SOCIAL (EAPN MADRID);CALLE;MELQUIADES BIENCINTO;7;PLANTA 3ª, PUERTA 3;28053;MADRID;DELICIAS;G81298531;29/08/2017;661552019;coordinacion@eapnmadrid.org;;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;67;61;500359;499374
3312;CONFEDERACION ESPAÑOLA DE INMIGRANTES EMPRENDEDORES-CEIN;CALLE;AMPARO USERA;9;;28026;MADRID;MOSCARDO;G85978476;09/08/2017;629550411;confederaciones@yahoo.es;;DE INMIGRANTES;ESTATAL;5;5;3458;3458
3273;ASOCIACION DE EMPRESARIOS Y PROFESIONALES DE LA CARNE Y DERIVADOS CARNICOS DE LA COMUNIDAD DE MADRID-CARNIMAD;CAÑOS;ENRIQUE LARRETA;5;1º;28036;MADRID; ;G28966430;18/04/2006;915471324;abogado@fedecarne.es;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;COMUNIDAD DE MADRID;0;0;1420;772
3254;FEDERACION NACIONAL DE ENFERMOS Y TRASPLANTADOS HEPATICOS;CALLE;SANTIAGO DE COMPOSTELA;38;7º;28034;MADRID; ;V91391375;19/05/2017;675952767;secretaria@fneth.org;;DE SALUD Y APOYO MUTUO;ESTATAL;23;3;8650;900
3253;COLEGAS-CONFEDERACION LGTB ESPAÑOLA;CALLE;ALAMO;5;BJ, LOCAL;28015;MADRID; ;G92469097;16/05/2017;607929460;RAMIREZ.MARTIN.FRANCISCO@GMAIL.COM;http://www.colegas.lgbt;CULTURALES Y CASAS REGIONALES;ESTATAL;18;3;2130;183
3252;UNION MADRILEÑA DE ASOCIACIONES DE PERSONAS PRO SALUD MENTAL -UMASAM- FEDERACION SALUD MENTAL COMUNIDAD DE MADRID;CALLE;POETA ESTEBAN DE VILLEGAS;12;LOCAL BAJO IZQUIERDA;28014;MADRID; ;G86653615;10/05/2017;915130243;coordinacion@saludmentalmadrid.org;http://www.saludmentalmadrid.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;17;9;2540;1810
3251;FEDERACION INTERSECTORIAL DE AUTONOMOS DE LA COMUNIDAD DE MADRID (FIDACAM);PASEO;INFANTA ISABEL;17;LOCAL;28014;MADRID; ;G80380595;10/05/2017;915775142;administracion@fidacam.com;http://www.fidacam.com;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;COMUNIDAD DE MADRID;5;2;1040;415
3250;"PLATAFORMA ""KHETANE"" DEL MOVIMIENTO ASOCIATIVO GITANO DEL ESTADO ESPAÑOL";PLAZA;LUCA DE TENA;2;BAJO LOCAL;28045;MADRID;PALOS DE MOGUER;G86515087;27/09/2016;649548329;coordinacion@plataformakhetane.org;http://www.plataformakhetane.org;DE DERECHOS HUMANOS;ESTATAL;27;1;21342;375
3245;FEDERACION DE PLANIFICACION FAMILIAR ESTATAL;CALLE;SAN VICENTE FERRER;86;LOCAL BAJO;28015;MADRID; ;V78419884;21/04/2017;915913449;info@fpfe.org;http://www.fpfe.org;DE SALUD Y APOYO MUTUO;ESTATAL;7;1;238;53
3244;UNION DE ASOCIACIONES DE TRABAJADORES AUTONOMOS Y EMPRENDEDORES DE LA COMUNIDAD DE MADRID (UATAE MADRID);CALLE;GENERAL PALANCA;37;;28045;MADRID;DELICIAS;G86249182;21/04/2017;915177375;bproyectos@uatae.org;www.uatae.org;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;COMUNIDAD DE MADRID;48;48;55339;55339
3243;CIRCULO EMPRESARIAL DE ATENCION A LAS PERSONAS (CEAPS);CALLE;CASTELLO;95;2º B;28006;MADRID; ;G87721593;24/04/2017;696656643;direccion@ceaps.org;;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;ESTATAL;12;1;1244;142
320;COORDINADORA ASOCIACIONES CULTURALES DE MADRID - COACUM;CALLE;SANTA JULIA;11; ;28053;MADRID;SAN DIEGO;G79006672;28/02/1989;914773887;coacum@gmail.com;;CULTURALES Y CASAS REGIONALES;COMUNIDAD DE MADRID;18;7;5240;1504
3123;FEDERACION RED DE ARTEMISA;CALLE;MAESTRO ARBOS;3;5º DESPACHO 511;28045;MADRID; ;G86219219;29/09/2016;917787432;coordinacion@redartemisa.org;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;6;6;1496;1496
3107;CONFEDERACION SALUD MENTAL ESPAÑA;CALLE;HERNANDEZ MAS;20;;28053;MADRID;ENTREVIAS;G46245247;05/09/2016;915079248;confederacion@consaludmental.org;http://consaludmental.org;DE SALUD Y APOYO MUTUO;ESTATAL;300;21;47000;3568
3097;FEDERACION ESPAÑOLA DE LUPUS;CALLE;MORETO;7;5º DCHA.;28014;MADRID; ;G29845096;20/07/2016;647081061;info@felupus.org;http://www.felupus.org;DE SALUD Y APOYO MUTUO;ESTATAL;22;1;650;400
3043;FEDERACION AUTISMO MADRID;CALLE;COSTA VERDE;1;;28029;MADRID;ALMENARA;G82095456;11/04/2016;910133095;info@autismomadrid.es;http://www.autismomadrid.es;OTRAS DE ACCIÓN SOCIAL;COMUNIDAD DE MADRID;14;7;1671;943
3008;"FAAM ""SINDICATO DE ESTUDIANTES""";CALLE;ESCALONA;80;2ºC;28024;MADRID;ALUCHE;G83303313;08/02/2016;605950727;sindicatoestudiantesmadrid@gmail.com ;http://sindicatodeestudiantes.net;JUVENILES;COMUNIDAD DE MADRID;92;42;1569;813
2980;FEDERACION ESPAÑOLA DE ENFERMEDADES METABOLICAS HEREDITARIAS;CALLE;LUIS RUIZ;75;LOCAL 30;28017;MADRID;PUEBLO NUEVO;G41429440;02/09/2015;626225611;federacion@metabolicos.es;http://www.metabolicos.es;DE SALUD Y APOYO MUTUO;ESTATAL;16;3;935;121
2953;FEDERACION MADRILEÑA DE DEPORTES PARA DISCAPACITADOS INTELECTUALES;AVENIDA;SALAS DE LOS INFANTES;1;;28034;MADRID; ;G80830730;21/04/2015;913646344;gerencia@femaddi.org;http://www.femaddi.org;DEPORTIVAS;COMUNIDAD DE MADRID;54;27;2046;1123
2950;FEDERACION ESPAÑOLA DE ASOCIACIONES DE ESPINA BIFIDA E HIDROCEFALIA;CALLE;PECHUAN;14;;28002;MADRID;CIUDAD JARDIN;G28726792;15/04/2015;650394896;PRESIDENCIA@FEBHI.ORG;http://www.febhi.org;DE SALUD Y APOYO MUTUO;ESTATAL;18;1;2438;351
2945;FEDERACION  DE ASOCIACIONES DE MUJERES DE LA COMUNIDAD DE MADRID-FAMCM;CALLE;BRAVO MURILLO;4;LOCAL;28015;MADRID;TRAFALGAR;G86535119;11/03/2015;914296241;f.asociacionesdemujerescm@gmail.com;http://www.federacionasociacionesdemujerescm.org;DE MUJERES;COMUNIDAD DE MADRID;13;9;1500;1000
2943;FEDERACION ESPAÑOLA DEL PUEBLO GITANO;CALLE;RUIDERA;10;LOCAL A;28053;MADRID; ;G87071676;03/03/2015;603165053;federacion.esppg@hotmail.com;;OTRAS DE ACCIÓN SOCIAL;ESTATAL;4;2;649;315
2936;ASOCIACION RED DE ONGD DE MADRID;CALLE;EMBAJADORES;26;LOCAL 4 ;28012;MADRID; ;V81310278;06/02/2015;915288033;coordinacion@redongdmad.org;www.redongdmad.org;PARA LA COOPERACIÓN AL DESARROLLO;COMUNIDAD DE MADRID;95;90;0;785644
2885;FEDERACION DE ASOCIACIONES BOLIVIANAS Y LATINOAMERICANAS (FEDABOL);CALLE;FRANCISCO RUIZ;9;BAJO, LOCAL 20 Y 36;28026;MADRID;ALMENDRALES;G85434173;06/05/2014;912227352;fedefedabol@yahoo.es;;DE INMIGRANTES;COMUNIDAD DE MADRID;5;5;452;452
2874;CONFEDERACION DE ASOCIACIONES DE ENFERMOS DE CROHN Y COLITIS ULCEROSA DE ESPAÑA - ACCU ESPAÑA;CALLE;ENRIQUE TROMPETA;6;BAJO 1;28045;MADRID;CHOPERA;G82047143;05/03/2014;915426326;accuesp@accuesp.com;http://www.accuesp.com;DE SALUD Y APOYO MUTUO;ESTATAL;33;1;6952;716
2840;LIGA REUMATOLOGICA ESPAÑOLA, ASOCIACION DE ORGANIZACIONES Y PERSONAS CON ENFERMEDADES REUMATICAS Y MUSCULOESQUELETICAS - LIRE;PASEO;DELICIAS;30;PLANTA 2ª;28045;MADRID;PALOS DE MOGUER;G28511848;02/12/2013;692271099;lire@lire.es;http://www.lire.es;DE SALUD Y APOYO MUTUO;ESTATAL;41;3;1169;125
2818;DOWN ESPAÑA - FEDERACION ESPAÑOLA DE INSTITUCIONES PARA EL SINDROME DE DOWN;CALLE;MACHAQUITO;58;BAJO;28043;MADRID; ;G80245780;11/11/2013;917160710;downespana@sindromedown.net;http://www.sindromedown.net;DE SALUD Y APOYO MUTUO;ESTATAL;90;5;11555;1108
2788;FEDERACION DE PERSONAS SORDAS DE LA COMUNIDAD DE MADRID - FESORCAM;CALLE;FLORESTAN AGUILAR;11;BAJO;28028;MADRID;GUINDALERA;G78509288;27/06/2013;917253757;administracion2@fesorcam.org;http://WWW.fesorcam.org;DE PERSONAS CON DISCAPACIDAD;COMUNIDAD DE MADRID;10;2;746;380
2731;ASOCIACION MADRILEÑA DE ORGANIZACIONES DE ATENCION A LAS PERSONAS CON PARALISIS CEREBRAL Y AFINES (ASPACE MADRID);CALLE;TABATINGA;11;;28027;MADRID;EL SALVADOR;G82633256;23/01/2013;670318674;proyectos@aspacemadrid.org;http://www.aspacemadrid.org;DE SALUD Y APOYO MUTUO;COMUNIDAD DE MADRID;10;10;812;581
2718;ASOCIACION DE CLUBES DE PELOTA DE MADRID Y SIGLA - ACPM;CALLE;BENIDORM;28;PISO BAJO LETRA H;28017;MADRID;VENTAS;G86519675;05/12/2012;913265350;ORTEGOCUESTA@GMAIL.COM;http://www.asociacioncpm.org;DEPORTIVAS;COMUNIDAD DE MADRID;3;2;45;45
2716;FEDERACION DE GRUPOS TRADICIONALES MADRILEÑOS;CALLE;SIERRA DE CONTRAVIESA;14;BAJO;28053;MADRID;ENTREVIAS;G79307955;26/11/2012;669751037;federacion.grupos.tradicionales@gmail.com;http://www..federaciongrupostradicionalesmadrilenos.com;CULTURALES Y CASAS REGIONALES;COMUNIDAD DE MADRID;11;7;720;592
2706;FEDERACION MADRILEÑA DE FOLCLORE;AVENIDA;CORDOBA;15;;28026;MADRID; ;G82620667;22/10/2012;609143675;director@balletfolcloricodemadrid.es;;CULTURALES Y CASAS REGIONALES;ESTATAL;4;4;583;581
2686;FEDERACION ESPAÑOLA DE TRANSPLANTADOS DE CORAZON (FETCO);CALLE;CERRO BLANCO;14;LOCAL 19;28026;MADRID; ;G81414328;03/09/2012;917510479;presidencia@fetco.es;http://www.fetco.es;DE SALUD Y APOYO MUTUO;ESTATAL;9;1;801;152
2677;CONFEDERACION DE ASOCIACIONES INDEPENDIENTES DE JUBILADOS, RETIRADOS Y PENSIONISTAS - C.A.I.;CALLE;CONCEPCION JERONIMA;8;3º CENTRO IZDA;28012;MADRID; ;G79044194;02/08/2012;913690738;ragaca55@gmail.com;;DE PERSONAS MAYORES, JUBILADAS Y PENSIONISTAS;ESTATAL;7;1;1057;34
2670;FEDERACION DE ASOCIACIONES DE INGENIEROS INDUSTRIALES DE ESPAÑA;CALLE;GENERAL ARRANDO;38;;28010;MADRID;ALMAGRO;G28214377;26/07/2012;915210070;faiie@iies.es;http://www.ingenierosindustriales.es;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;ESTATAL;14;1;25145;6867
2664;UNION DE ASOCIACIONES DE INGENIEROS TECNICOS INDUSTRIALES  Y GRADUADOS EN INGENIERIA DE LA RAMA INDUSTRIAL DE ESPAÑA (UAITIE);AVENIDA;PABLO IGLESIAS;2;2º PISO;28003;MADRID;VALLEHERMOSO;G28196061;23/07/2012;915541806;uaitie@uaitie.es;http://www.uaitie.es;COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTÓNOMOS;ESTATAL;37;1;49174;6867
2661;FEDERACION ESPAÑOLA SINDROME X FRAGIL;PLAZA;CARBALLO;8;10º-3;28029;MADRID;EL PILAR;G61897948;16/07/2012;629964478;jguzman@xfragil.org;http://xfragil.org;DE SALUD Y APOYO MUTUO;ESTATAL;12;1;587;114
2644;FEDERACION ESPAÑOLA DE BANCOS DE ALIMENTOS;CARRETERA;COLMENAR VIEJO;KM. 12,800;KM. 12,800 (CIUDAD ESCOLAR);28049;MADRID; ;G82410432;19/06/2012;917356390;angeles@fesbal.org;http://www.fesbal.org;OTRAS DE ACCIÓN SOCIAL;ESTATAL;54;1;7497;556
2642;FEDERACION DE MUJERES Y FAMILIAS DEL AMBITO RURAL - AMFAR;CALLE;AGUSTIN DE BETANCOURT;17;7º PLANTA;28003;MADRID;RIOS ROSAS;V82616582;20/06/2012;667696906;amfarcr@mujerrural.com;http://www.mujerrural.com;DE MUJERES;ESTATAL;29;1;92167;1985
2639;FEDERACION DE ASOCIACIONES DE CONSUMIDORES Y USUARIOS DE LOS MEDIOS (ICMEDIA);CALLE;RUFINO BLANCO;8;3º B;28028;MADRID;FUENTE DEL BERRO;G80508682;18/06/2012;915349018;mpellico@icmedianet.org;;DE PERSONAS CONSUMIDORAS Y USUARIAS;ESTATAL;13;1;80;80
2638;ORGANIZACION IMPULSORA DE DISCAPACITADOS (O.I.D.);CALLE;GRAN VIA;57;7ºB;28013;MADRID;PALACIO;G47337118;18/06/2012;925054000;abogadosoid@gmail.com;;OTRAS DE ACCIÓN SOCIAL;INTERNACIONAL;1;1;79;79
2637;FEDERACION DE COMUNIDADES ANDALUZAS CENTRO DE ESPAÑA - FECACE;CALLE;GRAN VIA;29;4º PTA 14;28013;MADRID;SOL;V79083754;18/06/2012;915320037;secretaria@fecace.com;http://www.fecace.es;CULTURALES Y CASAS REGIONALES;ESTATAL;22;3;5849;970
2568;LIGA ESPAÑOLA DE LA EDUCACION Y LA CULTURA POPULAR (L.E.E.C.P.);CALLE;VALLEHERMOSO;54;1º 1;28015;MADRID;ARAPILES;G78519543;10/01/2012;915945338;laliga@ligaeducacion.org;http://www.ligaeducacion.org;CULTURALES Y CASAS REGIONALES;ESTATAL;15;1;251;45
2558;COORDINADORA NACIONAL DE ARTRITIS - CONARTRITIS;CALLE;FERROCARRIL;18;2º -  OFICINA 1;28045;MADRID;PALOS DE MOGUER;G84188671;16/12/2011;915352141;conartritis@conartritis.org;http://www.conartritis.org;DE SALUD Y APOYO MUTUO;ESTATAL;15;1;2626;432
2467;FEDERACION ECOM - FEDERACION DE ENTIDADES DE PERSONAS CON DISCAPACIDAD FISICA;CALLE;GERMAN PEREZ CARRASCO;65;LOCAL;28027;MADRID;QUINTANA;G08803801;21/02/2011;934515550;;;DE SALUD Y APOYO MUTUO;ESTATAL;174;9;0;0
